iteration,accuracy,loss,lr,progress,timestamp
0.0,0.12299999594688416,0.00024052665844447507,0.01,0.0,
100.0,0.36079999804496765,0.00020542933770146106,0.01,0.005,
200.0,0.46299999952316284,0.000289179210931348,0.01,0.01,
300.0,0.38329997658729553,0.0004942206721409749,0.01,0.015,
400.0,0.5494999885559082,0.0003231552069122738,0.01,0.02,
500.0,0.6299999952316284,0.0003006633084676964,0.01,0.025,
600.0,0.6912999749183655,0.00017820962599820577,0.01,0.03,
700.0,0.7583000063896179,0.00010876769310621656,0.01,0.035,
800.0,0.8520999550819397,4.858932566655625e-05,0.01,0.04,
900.0,0.8400999903678894,5.122214545032725e-05,0.01,0.045,
1000.0,0.8650999665260315,4.3670652001469525e-05,0.01,0.05,
1100.0,0.8781999945640564,4.017675578302146e-05,0.01,0.055,
1200.0,0.8697999715805054,4.228983018259163e-05,0.01,0.06,
1300.0,0.8800999522209167,4.0144024796850785e-05,0.01,0.065,
1400.0,0.8797999620437622,3.988814549042944e-05,0.01,0.07,
1500.0,0.8797999620437622,4.033285717340641e-05,0.01,0.075,
1600.0,0.8912999629974365,3.9110280522309276e-05,0.01,0.08,
1700.0,0.8693999648094177,4.461568622045342e-05,0.01,0.085,
1800.0,0.8659999966621399,4.4962122473511334e-05,0.01,0.09,
1900.0,0.8831999897956848,4.126044299969353e-05,0.01,0.095,
2000.0,0.8700000047683716,4.436668439621293e-05,0.01,0.1,
2100.0,0.8710999488830566,4.5096275238155675e-05,0.01,0.105,
2200.0,0.8478999733924866,4.930179326447435e-05,0.01,0.11,
2300.0,0.7321000099182129,7.984590920153689e-05,0.01,0.115,
2400.0,0.7644999623298645,6.679110035200114e-05,0.01,0.12,
2500.0,0.66839998960495,0.00010775399879390737,0.01,0.125,
2600.0,0.7028999924659729,0.00013330704674752554,0.01,0.13,
2700.0,0.8216999769210815,5.762090072175761e-05,0.01,0.135,
2800.0,0.7728999853134155,6.63734619825233e-05,0.01,0.14,
2900.0,0.8335999846458435,5.382046321744841e-05,0.01,0.145,
3000.0,0.8682999610900879,4.2229309256624634e-05,0.01,0.15,
3100.0,0.8871999979019165,3.938705874020492e-05,0.01,0.155,
3200.0,0.8658999800682068,4.4489459527985725e-05,0.01,0.16,
3300.0,0.8837999701499939,4.09720085509534e-05,0.01,0.165,
3400.0,0.8951999545097351,3.768876351223784e-05,0.01,0.17,
3500.0,0.8848999738693237,4.0765588023484485e-05,0.01,0.175,
3600.0,0.8378999829292297,5.011552654561893e-05,0.01,0.18,
3700.0,0.835099995136261,5.106747072960416e-05,0.01,0.185,
3800.0,0.8531999588012695,4.826408058598246e-05,0.01,0.19,
3900.0,0.8407999873161316,5.235958892486843e-05,0.01,0.195,
4000.0,0.8090999722480774,5.7082840404015516e-05,0.01,0.2,
4100.0,0.8567000031471252,4.7300438783167614e-05,0.01,0.205,
4200.0,0.865399956703186,4.604270117998929e-05,0.01,0.21,
4300.0,0.8234999775886536,5.77058862537015e-05,0.01,0.215,
4400.0,0.7986999750137329,6.284992857846009e-05,0.01,0.22,
4500.0,0.7836999893188477,6.447698742217103e-05,0.01,0.225,
4600.0,0.8434000015258789,5.0169797883815814e-05,0.01,0.23,
4700.0,0.7820000052452087,6.564860596321552e-05,0.01,0.235,
4800.0,0.8053999543190002,6.315648672102957e-05,0.01,0.24,
4900.0,0.8506999611854553,4.836396225570492e-05,0.01,0.245,
5000.0,0.7748000025749207,7.216076820150776e-05,0.01,0.25,
5100.0,0.8515999913215637,4.921939462773758e-05,0.01,0.255,
5200.0,0.8677999973297119,4.330665237591375e-05,0.01,0.26,
5300.0,0.8852999806404114,4.078066482648455e-05,0.01,0.265,
5400.0,0.8973999619483948,3.751688625319942e-05,0.01,0.27,
5500.0,0.8962999582290649,3.800698386996032e-05,0.01,0.275,
5600.0,0.8636999726295471,4.51738577496338e-05,0.01,0.28,
5700.0,0.8495999574661255,4.994343713567817e-05,0.01,0.285,
5800.0,0.8402000069618225,5.01491233842148e-05,0.01,0.29,
5900.0,0.7720999717712402,7.944932239436856e-05,0.01,0.295,
6000.0,0.858199954032898,4.7246828291736897e-05,0.01,0.3,
6100.0,0.8248999714851379,5.9823502667375083e-05,0.01,0.305,
6200.0,0.7218999862670898,7.98254463371905e-05,0.01,0.31,
6300.0,0.7554999589920044,8.455920706867831e-05,0.01,0.315,
6400.0,0.8535999655723572,4.895892041633521e-05,0.01,0.32,
6500.0,0.7782999873161316,6.853960014946406e-05,0.01,0.325,
6600.0,0.7597000002861023,7.804434422665124e-05,0.01,0.33,
6700.0,0.8154999613761902,5.619005956124849e-05,0.01,0.335,
6800.0,0.876800000667572,4.049821802516271e-05,0.01,0.34,
6900.0,0.8922999501228333,3.804075794193949e-05,0.01,0.345,
7000.0,0.8886999487876892,3.9012776054116143e-05,0.01,0.35,
7100.0,0.8743000030517578,4.1957772027276755e-05,0.01,0.355,
7200.0,0.8852999806404114,3.991257266617294e-05,0.01,0.36,
7300.0,0.8734999895095825,4.468106940810576e-05,0.01,0.365,
7400.0,0.8906999826431274,3.941775313091504e-05,0.01,0.37,
7500.0,0.8531000018119812,4.783717944623735e-05,0.01,0.375,
7600.0,0.8252999782562256,5.362687757973907e-05,0.01,0.38,
7700.0,0.8288999795913696,5.4514510159081145e-05,0.01,0.385,
7800.0,0.8536999821662903,4.879344435385152e-05,0.01,0.39,
7900.0,0.8632999658584595,4.635616198135907e-05,0.01,0.395,
8000.0,0.8112999796867371,5.6819951561459205e-05,0.01,0.4,
8100.0,0.7843999862670898,8.176494681489745e-05,0.01,0.405,
8200.0,0.8695999979972839,4.7028238303995614e-05,0.01,0.41,
8300.0,0.755899965763092,7.496685368367482e-05,0.01,0.415,
8400.0,0.8718000054359436,4.2308632225012714e-05,0.01,0.42,
8500.0,0.8562999963760376,4.643463577083606e-05,0.01,0.425,
8600.0,0.7982999682426453,6.710850809157993e-05,0.01,0.43,
8700.0,0.8532999753952026,4.8031755170459384e-05,0.01,0.435,
8800.0,0.8937000036239624,3.809173328900193e-05,0.01,0.44,
8900.0,0.8871999979019165,3.924738241587995e-05,0.01,0.445,
9000.0,0.8702999949455261,4.383193624036904e-05,0.01,0.45,
9100.0,0.8055999875068665,5.853846683609412e-05,0.01,0.455,
9200.0,0.8021000027656555,5.88268098799973e-05,0.01,0.46,
9300.0,0.8176999688148499,6.224268749738276e-05,0.01,0.465,
9400.0,0.8729999661445618,4.2636044860275186e-05,0.01,0.47,
9500.0,0.8873999714851379,3.999759820476172e-05,0.01,0.475,
9600.0,0.8816999793052673,4.295567693708176e-05,0.01,0.48,
9700.0,0.8299999833106995,5.4483744065526064e-05,0.01,0.485,
9800.0,0.7791999578475952,7.191139167992753e-05,0.01,0.49,
