iteration,accuracy,loss,lr,progress,timestamp
0.0,0.08190000057220459,0.00024521431630703205,0.01,0.0,
100.0,0.7872999906539917,9.279552867592652e-05,0.01,0.005,
200.0,0.8175999522209167,7.704473964829556e-05,0.01,0.01,
300.0,0.8446999788284302,6.70528906368165e-05,0.01,0.015,
400.0,0.8696999549865723,5.43219693785897e-05,0.01,0.02,
500.0,0.8739999532699585,4.999571993739366e-05,0.01,0.025,
600.0,0.8682000041007996,4.82950196887229e-05,0.01,0.03,
700.0,0.8849999904632568,4.5136435978834946e-05,0.01,0.035,
800.0,0.8797000050544739,4.393330324158243e-05,0.01,0.04,
900.0,0.8805999755859375,4.2997673693329545e-05,0.01,0.045,
1000.0,0.8921999931335449,4.0502007325864897e-05,0.01,0.05,
1100.0,0.892799973487854,4.0260321800340414e-05,0.01,0.055,
1200.0,0.8965999484062195,3.882798923455487e-05,0.01,0.06,
1300.0,0.8920999765396118,3.92336671523296e-05,0.01,0.065,
1400.0,0.8991000056266785,3.815561832000762e-05,0.01,0.07,
1500.0,0.8988999724388123,3.724248257881891e-05,0.01,0.075,
1600.0,0.8960999846458435,3.788701290931321e-05,0.01,0.08,
1700.0,0.9009000062942505,3.671318339266731e-05,0.01,0.085,
1800.0,0.9034000039100647,3.626062338787308e-05,0.01,0.09,
1900.0,0.8960999846458435,3.672349792456511e-05,0.01,0.095,
2000.0,0.902999997138977,3.574223532024327e-05,0.01,0.1,
2100.0,0.9044999480247498,3.536791033279711e-05,0.01,0.105,
2200.0,0.8992999792098999,3.611553250634863e-05,0.01,0.11,
2300.0,0.8946999907493591,3.656959036513418e-05,0.01,0.115,
2400.0,0.8989999890327454,3.5853253221596344e-05,0.01,0.12,
2500.0,0.9057999849319458,3.4848348525327375e-05,0.01,0.125,
2600.0,0.9061999917030334,3.4698414328944755e-05,0.01,0.13,
2700.0,0.9072999954223633,3.437630471341052e-05,0.01,0.135,
2800.0,0.9053999781608582,3.496885744135125e-05,0.01,0.14,
2900.0,0.9049999713897705,3.4446272965517216e-05,0.01,0.145,
3000.0,0.9073999524116516,3.393943977001578e-05,0.01,0.15,
3100.0,0.9086999893188477,3.3693075187108205e-05,0.01,0.155,
3200.0,0.9041000008583069,3.4070265374297174e-05,0.01,0.16,
3300.0,0.9042999744415283,3.409859847704558e-05,0.01,0.165,
3400.0,0.9077999591827393,3.396580034121773e-05,0.01,0.17,
3500.0,0.9085999727249146,3.35584481877959e-05,0.01,0.175,
3600.0,0.9081999659538269,3.320691321927247e-05,0.01,0.18,
3700.0,0.9088999629020691,3.313756783114878e-05,0.01,0.185,
3800.0,0.9107999801635742,3.299225320660733e-05,0.01,0.19,
3900.0,0.9050999879837036,3.335898132753698e-05,0.01,0.195,
4000.0,0.90829998254776,3.3400188010198405e-05,0.01,0.2,
4100.0,0.9095999598503113,3.304619847011415e-05,0.01,0.205,
4200.0,0.9103999733924866,3.291350887091506e-05,0.01,0.21,
4300.0,0.909500002861023,3.352147078178162e-05,0.01,0.215,
4400.0,0.9097999930381775,3.2777504474637053e-05,0.01,0.22,
4500.0,0.9080999493598938,3.3279110016513766e-05,0.01,0.225,
4600.0,0.9096999764442444,3.285639614305126e-05,0.01,0.23,
4700.0,0.9111999869346619,3.2564678190186025e-05,0.01,0.235,
4800.0,0.9092999696731567,3.287659390223186e-05,0.01,0.24,
4900.0,0.9120000004768372,3.2277062225127546e-05,0.01,0.245,
5000.0,0.9072999954223633,3.319088741582536e-05,0.01,0.25,
5100.0,0.9102999567985535,3.273772739991101e-05,0.01,0.255,
5200.0,0.9108999967575073,3.253545895400996e-05,0.01,0.26,
5300.0,0.90829998254776,3.268589822915845e-05,0.01,0.265,
5400.0,0.9122999906539917,3.236517159886868e-05,0.01,0.27,
5500.0,0.9113999605178833,3.2769677743002105e-05,0.01,0.275,
5600.0,0.913100004196167,3.208550865093507e-05,0.01,0.28,
5700.0,0.9136999845504761,3.242994200820152e-05,0.01,0.285,
5800.0,0.9108999967575073,3.201216535611574e-05,0.01,0.29,
5900.0,0.9103999733924866,3.232407084907623e-05,0.01,0.295,
6000.0,0.9110999703407288,3.216580755666678e-05,0.01,0.3,
6100.0,0.9098999500274658,3.291049721680361e-05,0.01,0.305,
6200.0,0.9095999598503113,3.2634963449915096e-05,0.01,0.31,
6300.0,0.9127999544143677,3.198427922899276e-05,0.01,0.315,
6400.0,0.9113999605178833,3.204087906484402e-05,0.01,0.32,
6500.0,0.9107999801635742,3.235567693574578e-05,0.01,0.325,
6600.0,0.9063999652862549,3.275248493284788e-05,0.01,0.33,
6700.0,0.9110999703407288,3.222906889868732e-05,0.01,0.335,
6800.0,0.9091999530792236,3.301886809657923e-05,0.01,0.34,
6900.0,0.9062999486923218,3.361834851952927e-05,0.01,0.345,
7000.0,0.9108999967575073,3.2726680411613856e-05,0.01,0.35,
7100.0,0.9083999991416931,3.27195374810049e-05,0.01,0.355,
7200.0,0.9127999544143677,3.201295948105807e-05,0.01,0.36,
7300.0,0.9145999550819397,3.205791711844966e-05,0.01,0.365,
7400.0,0.9138000011444092,3.174751396237524e-05,0.01,0.37,
7500.0,0.9101999998092651,3.2324426589077245e-05,0.01,0.375,
7600.0,0.9108999967575073,3.208414515106547e-05,0.01,0.38,
7700.0,0.9133999943733215,3.2777916153350044e-05,0.01,0.385,
7800.0,0.91239994764328,3.191368273814134e-05,0.01,0.39,
7900.0,0.913100004196167,3.183270061174986e-05,0.01,0.395,
8000.0,0.9127999544143677,3.1461906746845864e-05,0.01,0.4,
8100.0,0.9138999581336975,3.168027834285491e-05,0.01,0.405,
8200.0,0.9101999998092651,3.226611789134114e-05,0.01,0.41,
8300.0,0.9149999618530273,3.181531657429843e-05,0.01,0.415,
8400.0,0.9114999771118164,3.203507752341431e-05,0.01,0.42,
8500.0,0.9113999605178833,3.204045361189937e-05,0.01,0.425,
8600.0,0.9084999561309814,3.2987932306682316e-05,0.01,0.43,
8700.0,0.9111999869346619,3.1976028860135236e-05,0.01,0.435,
8800.0,0.9143999814987183,3.141347964522804e-05,0.01,0.44,
8900.0,0.9142999649047852,3.171726572206113e-05,0.01,0.445,
9000.0,0.9099999666213989,3.22949105180569e-05,0.01,0.45,
9100.0,0.913100004196167,3.161080152055197e-05,0.01,0.455,
9200.0,0.9075999855995178,3.218551234002967e-05,0.01,0.46,
9300.0,0.9106999635696411,3.1630096129667954e-05,0.01,0.465,
9400.0,0.909500002861023,3.222741949285621e-05,0.01,0.47,
9500.0,0.9151999950408936,3.130652044465912e-05,0.01,0.475,
9600.0,0.9102999567985535,3.1769876567281184e-05,0.01,0.48,
9700.0,0.9107999801635742,3.172531711730398e-05,0.01,0.485,
9800.0,0.9146999716758728,3.1388190375411594e-05,0.01,0.49,
9900.0,0.9147999882698059,3.117545060273734e-05,0.01,0.495,
10000.0,0.9143999814987183,3.142398046266754e-05,0.01,0.5,
10100.0,0.9151999950408936,3.127578814613085e-05,0.01,0.505,
10200.0,0.9154999852180481,3.202857357222972e-05,0.01,0.51,
10300.0,0.9113999605178833,3.1836497123802286e-05,0.01,0.515,
10400.0,0.9128999710083008,3.125452428024665e-05,0.01,0.52,
10500.0,0.911300003528595,3.214053825420516e-05,0.01,0.525,
10600.0,0.9149999618530273,3.15890196063934e-05,0.01,0.53,
10700.0,0.911300003528595,3.197669891588603e-05,0.01,0.535,
10800.0,0.9077999591827393,3.267914078758571e-05,0.01,0.54,
