iteration,accuracy,loss,lr,progress,timestamp
0.0,0.09519999474287033,0.00024353391343571036,0.01,0.0,
100.0,0.3677999973297119,0.0003609215208630805,0.01,0.005,
200.0,0.33949998021125793,0.000488352652473437,0.01,0.01,
300.0,0.459199994802475,0.00044707364760193625,0.01,0.015,
400.0,0.48649999499320984,0.00029614025871260664,0.01,0.02,
500.0,0.37790000438690186,0.0003814887835287748,0.01,0.025,
600.0,0.49869999289512634,0.0003477573919057904,0.01,0.03,
700.0,0.6477999687194824,0.00016868088843081767,0.01,0.035,
800.0,0.7531999945640564,8.507720413552176e-05,0.01,0.04,
900.0,0.8267999887466431,5.675098447294471e-05,0.01,0.045,
1000.0,0.8707000017166138,4.221097297682444e-05,0.01,0.05,
1100.0,0.8641999959945679,4.301462188011379e-05,0.01,0.055,
1200.0,0.8761999607086182,4.091898784122727e-05,0.01,0.06,
1300.0,0.8780999779701233,4.001794857576295e-05,0.01,0.065,
1400.0,0.8772000074386597,3.990192577620368e-05,0.01,0.07,
1500.0,0.8818999528884888,3.933664303776954e-05,0.01,0.075,
1600.0,0.8865000009536743,3.887592622372286e-05,0.01,0.08,
1700.0,0.8763999938964844,4.181225203875116e-05,0.01,0.085,
1800.0,0.8886999487876892,3.857416158247999e-05,0.01,0.09,
1900.0,0.8914999961853027,3.768969359226026e-05,0.01,0.095,
2000.0,0.8481000065803528,4.88911081382671e-05,0.01,0.1,
2100.0,0.8782999515533447,4.140212896293821e-05,0.01,0.105,
2200.0,0.8813999891281128,3.9746052792076315e-05,0.01,0.11,
2300.0,0.8758999705314636,4.20273561945645e-05,0.01,0.115,
2400.0,0.8813999891281128,3.981167354313302e-05,0.01,0.12,
2500.0,0.8849999904632568,3.870834787099137e-05,0.01,0.125,
2600.0,0.8779999613761902,4.31476295485165e-05,0.01,0.13,
2700.0,0.8791999816894531,4.176056496423851e-05,0.01,0.135,
2800.0,0.8989999890327454,3.6851616411111536e-05,0.01,0.14,
2900.0,0.899899959564209,3.7091209459522665e-05,0.01,0.145,
3000.0,0.8690999746322632,4.2449598775200876e-05,0.01,0.15,
3100.0,0.857699990272522,4.553646979961708e-05,0.01,0.155,
3200.0,0.8424999713897705,4.9243118689147434e-05,0.01,0.16,
3300.0,0.8606999516487122,4.629009172137316e-05,0.01,0.165,
3400.0,0.8431999683380127,4.9553063157920515e-05,0.01,0.17,
3500.0,0.8946999907493591,3.900670690840884e-05,0.01,0.175,
3600.0,0.8314999938011169,5.0504399417330695e-05,0.01,0.18,
3700.0,0.8139999508857727,5.855639124211716e-05,0.01,0.185,
3800.0,0.8557999730110168,4.5298928873166066e-05,0.01,0.19,
3900.0,0.8574999570846558,4.6722793125015165e-05,0.01,0.195,
4000.0,0.8579999804496765,4.666478738509106e-05,0.01,0.2,
4100.0,0.8769999742507935,4.2650734806815485e-05,0.01,0.205,
4200.0,0.8804999589920044,4.1518281667501576e-05,0.01,0.21,
4300.0,0.8412999510765076,4.8765909397052804e-05,0.01,0.215,
4400.0,0.8937000036239624,3.8291408735910315e-05,0.01,0.22,
4500.0,0.8955000042915344,3.911391792492098e-05,0.01,0.225,
4600.0,0.887499988079071,3.925541761296377e-05,0.01,0.23,
4700.0,0.8833999633789062,4.0327608153161424e-05,0.01,0.235,
4800.0,0.9041000008583069,3.6371520751701046e-05,0.01,0.24,
