iteration,accuracy,loss,lr,progress,timestamp
0.0,0.0940999984741211,0.000245383696662666,0.01,0.0,
100.0,0.7077999711036682,0.00012618872706459143,0.01,0.005,
200.0,0.7177000045776367,8.877442201536009e-05,0.01,0.01,
300.0,0.793999969959259,7.782692843953887e-05,0.01,0.015,
400.0,0.7568999528884888,8.116960730336414e-05,0.01,0.02,
500.0,0.7982999682426453,6.795255619011312e-05,0.01,0.025,
600.0,0.7766000032424927,7.167399661171316e-05,0.01,0.03,
700.0,0.8283999562263489,6.219294383408016e-05,0.01,0.035,
800.0,0.8052999973297119,6.370824219912447e-05,0.01,0.04,
900.0,0.7967999577522278,6.538225545545013e-05,0.01,0.045,
1000.0,0.8290999531745911,5.8053233384469615e-05,0.01,0.05,
1100.0,0.812999963760376,6.093948060319686e-05,0.01,0.055,
1200.0,0.7953000068664551,6.592111699742242e-05,0.01,0.06,
1300.0,0.8734999895095825,4.8834555972507846e-05,0.01,0.065,
1400.0,0.8744999766349792,5.00308131264036e-05,0.01,0.07,
1500.0,0.8787999749183655,4.6267274682312875e-05,0.01,0.075,
1600.0,0.8702999949455261,4.823679882416586e-05,0.01,0.08,
1700.0,0.7818999886512756,6.595461100539976e-05,0.01,0.085,
1800.0,0.8393999934196472,5.424041743240298e-05,0.01,0.09,
1900.0,0.8806999921798706,4.4943609840418195e-05,0.01,0.095,
2000.0,0.8877999782562256,4.242039007078669e-05,0.01,0.1,
2100.0,0.8675999641418457,4.676182597849278e-05,0.01,0.105,
2200.0,0.8841999769210815,4.240135672592285e-05,0.01,0.11,
2300.0,0.8833999633789062,4.273092120378892e-05,0.01,0.115,
2400.0,0.8657000064849854,4.5373025248908366e-05,0.01,0.12,
2500.0,0.8759999871253967,4.303598169322229e-05,0.01,0.125,
2600.0,0.8935999870300293,4.107674536254348e-05,0.01,0.13,
2700.0,0.8816999793052673,4.247798867310514e-05,0.01,0.135,
2800.0,0.8974999785423279,3.919511918523184e-05,0.01,0.14,
2900.0,0.8964999914169312,3.8571815867741625e-05,0.01,0.145,
3000.0,0.8726999759674072,4.416658628389898e-05,0.01,0.15,
3100.0,0.871399998664856,4.304090297321706e-05,0.01,0.155,
3200.0,0.8980000019073486,3.8127708063359026e-05,0.01,0.16,
3300.0,0.8987999558448792,3.763867185298284e-05,0.01,0.165,
3400.0,0.875499963760376,4.224372298876716e-05,0.01,0.17,
3500.0,0.8982999920845032,3.8658744927234516e-05,0.01,0.175,
3600.0,0.9010999798774719,3.754206567577787e-05,0.01,0.18,
