iteration,accuracy,loss,lr,progress,timestamp
0.0,0.09319999814033508,0.00023538416499769348,0.01,0.0,
100.0,0.7559999823570251,0.00010097817817310474,0.01,0.005,
200.0,0.8208000063896179,7.707717466444151e-05,0.01,0.01,
300.0,0.8201999664306641,6.852905344913217e-05,0.01,0.015,
400.0,0.8583999872207642,5.859126994530072e-05,0.01,0.02,
500.0,0.8499000072479248,5.852961501182337e-05,0.01,0.025,
600.0,0.8520999550819397,5.552852182673787e-05,0.01,0.03,
700.0,0.8622999787330627,5.288009809830472e-05,0.01,0.035,
800.0,0.8593999743461609,5.2210572052411066e-05,0.01,0.04,
900.0,0.8633999824523926,5.1316240419082464e-05,0.01,0.045,
1000.0,0.8775999546051025,4.795366924094673e-05,0.01,0.05,
1100.0,0.8720999956130981,4.833741316999487e-05,0.01,0.055,
1200.0,0.8768999576568604,4.7352760891830645e-05,0.01,0.06,
1300.0,0.8720999956130981,4.739268555128621e-05,0.01,0.065,
1400.0,0.8798999786376953,4.6639302883646805e-05,0.01,0.07,
1500.0,0.8845999836921692,4.450880218099736e-05,0.01,0.075,
1600.0,0.8853999972343445,4.462767480646653e-05,0.01,0.08,
1700.0,0.8823999762535095,4.4555420792695396e-05,0.01,0.085,
1800.0,0.8942999839782715,4.289491720999726e-05,0.01,0.09,
1900.0,0.8804999589920044,4.4214709369187225e-05,0.01,0.095,
2000.0,0.8858000040054321,4.3486249000458866e-05,0.01,0.1,
2100.0,0.8930999636650085,4.212228200782554e-05,0.01,0.105,
2200.0,0.885699987411499,4.340835927378767e-05,0.01,0.11,
2300.0,0.8757999539375305,4.5049978416683266e-05,0.01,0.115,
2400.0,0.8763999938964844,4.479087923162457e-05,0.01,0.12,
2500.0,0.8948999643325806,4.153502016759556e-05,0.01,0.125,
2600.0,0.8940999507904053,4.1762775609217894e-05,0.01,0.13,
2700.0,0.8901999592781067,4.23246882824782e-05,0.01,0.135,
2800.0,0.8938999772071838,4.1553651672881e-05,0.01,0.14,
2900.0,0.8826999664306641,4.3370788048417855e-05,0.01,0.145,
3000.0,0.8985999822616577,4.0593372770265884e-05,0.01,0.15,
3100.0,0.8960999846458435,4.057361392039951e-05,0.01,0.155,
3200.0,0.8869999647140503,4.158007400297979e-05,0.01,0.16,
3300.0,0.8835999965667725,4.3165312897584346e-05,0.01,0.165,
3400.0,0.8928999900817871,4.1253970405951314e-05,0.01,0.17,
3500.0,0.8928999900817871,4.128469605380672e-05,0.01,0.175,
3600.0,0.8928999900817871,4.1196746045448404e-05,0.01,0.18,
3700.0,0.8913999795913696,4.0745556697119443e-05,0.01,0.185,
3800.0,0.8938999772071838,4.1310697384155804e-05,0.01,0.19,
3900.0,0.8876999616622925,4.14307496399091e-05,0.01,0.195,
4000.0,0.8948999643325806,3.996695254375705e-05,0.01,0.2,
4100.0,0.894599974155426,4.064573554429488e-05,0.01,0.205,
4200.0,0.8923999667167664,4.058749889048229e-05,0.01,0.21,
4300.0,0.8981999754905701,4.0293085510844006e-05,0.01,0.215,
4400.0,0.8962999582290649,3.992957164614471e-05,0.01,0.22,
4500.0,0.8915999531745911,4.088124558469432e-05,0.01,0.225,
4600.0,0.8880999684333801,4.13879002633115e-05,0.01,0.23,
4700.0,0.8944000005722046,4.057762862406064e-05,0.01,0.235,
4800.0,0.8919999599456787,4.058196386972568e-05,0.01,0.24,
4900.0,0.8967999815940857,3.962576336484922e-05,0.01,0.245,
5000.0,0.8855999708175659,4.134376596259442e-05,0.01,0.25,
5100.0,0.8958999514579773,4.003979280530841e-05,0.01,0.255,
5200.0,0.8991999626159668,3.9160105552098127e-05,0.01,0.26,
5300.0,0.8858999609947205,4.1214950632897164e-05,0.01,0.265,
5400.0,0.9001999497413635,3.8805136126083264e-05,0.01,0.27,
5500.0,0.8962000012397766,3.981330931318537e-05,0.01,0.275,
5600.0,0.9018999934196472,3.9327217911599414e-05,0.01,0.28,
5700.0,0.896399974822998,3.969053724996129e-05,0.01,0.285,
5800.0,0.8923999667167664,4.0371046876384336e-05,0.01,0.29,
5900.0,0.8971999883651733,3.93597262818598e-05,0.01,0.295,
6000.0,0.8912999629974365,4.034282300682105e-05,0.01,0.3,
6100.0,0.8910999894142151,4.166623175043151e-05,0.01,0.305,
6200.0,0.8797000050544739,4.2701493612979995e-05,0.01,0.31,
6300.0,0.894599974155426,4.0068389753612275e-05,0.01,0.315,
6400.0,0.8956999778747559,3.936640338431739e-05,0.01,0.32,
6500.0,0.8952999711036682,3.9854278890498106e-05,0.01,0.325,
6600.0,0.8870999813079834,4.0944619265181783e-05,0.01,0.33,
6700.0,0.8946999907493591,3.984744955965147e-05,0.01,0.335,
6800.0,0.8890999555587769,4.1213880288138884e-05,0.01,0.34,
6900.0,0.8848999738693237,4.216167616387927e-05,0.01,0.345,
7000.0,0.8955999612808228,3.9762031151603917e-05,0.01,0.35,
7100.0,0.8880999684333801,4.0977559094886365e-05,0.01,0.355,
7200.0,0.898099958896637,3.920748313556228e-05,0.01,0.36,
7300.0,0.8988999724388123,3.919440121091207e-05,0.01,0.365,
7400.0,0.8951999545097351,3.951613599378472e-05,0.01,0.37,
7500.0,0.8964999914169312,3.9128363478720804e-05,0.01,0.375,
7600.0,0.8989999890327454,3.911665352866096e-05,0.01,0.38,
7700.0,0.9001999497413635,3.941373730998847e-05,0.01,0.385,
7800.0,0.8960999846458435,3.980442064148008e-05,0.01,0.39,
7900.0,0.8935999870300293,4.032462613609985e-05,0.01,0.395,
