iteration,accuracy,loss,lr,progress,timestamp
0.0,0.1363999992609024,0.0002469893721020584,0.01,0.0,
100.0,0.6807000041007996,0.00012360637485177948,0.01,0.005,
200.0,0.7971999645233154,7.780809561322044e-05,0.01,0.01,
300.0,0.79749995470047,6.84056221653513e-05,0.01,0.015,
400.0,0.8474999666213989,5.8885555359537284e-05,0.01,0.02,
500.0,0.8079999685287476,6.202058799031522e-05,0.01,0.025,
600.0,0.8363999724388123,5.696066352722943e-05,0.01,0.03,
700.0,0.8361999988555908,5.644363467307101e-05,0.01,0.035,
800.0,0.8517999649047852,5.3746511110187604e-05,0.01,0.04,
900.0,0.8486999869346619,5.2247732268707425e-05,0.01,0.045,
1000.0,0.8519999980926514,5.113108461776901e-05,0.01,0.05,
1100.0,0.8520999550819397,5.134813590045938e-05,0.01,0.055,
1200.0,0.8411999940872192,5.32722348686622e-05,0.01,0.06,
1300.0,0.842199981212616,5.235607138160147e-05,0.01,0.065,
1400.0,0.8526999950408936,5.0144754562377126e-05,0.01,0.07,
1500.0,0.8579999804496765,4.897356669389863e-05,0.01,0.075,
1600.0,0.8434999585151672,5.170621811517421e-05,0.01,0.08,
1700.0,0.8589999675750732,4.861218936352562e-05,0.01,0.085,
1800.0,0.840499997138977,5.274508847089219e-05,0.01,0.09,
1900.0,0.8560999631881714,4.8939585047943495e-05,0.01,0.095,
2000.0,0.8585999608039856,4.836440233096581e-05,0.01,0.1,
2100.0,0.8633999824523926,4.6639324134260995e-05,0.01,0.105,
2200.0,0.8590999841690063,4.771953500102247e-05,0.01,0.11,
2300.0,0.8772000074386597,4.430576732968508e-05,0.01,0.115,
2400.0,0.8700000047683716,4.515258276802286e-05,0.01,0.12,
2500.0,0.8613999485969543,4.713473328816325e-05,0.01,0.125,
2600.0,0.8738999962806702,4.383165669398976e-05,0.01,0.13,
2700.0,0.8806999921798706,4.332971037407743e-05,0.01,0.135,
2800.0,0.8798999786376953,4.303830560028373e-05,0.01,0.14,
2900.0,0.8700999617576599,4.4135690565707194e-05,0.01,0.145,
3000.0,0.8741999864578247,4.369048082285515e-05,0.01,0.15,
3100.0,0.8806999921798706,4.2714906939145276e-05,0.01,0.155,
3200.0,0.8519999980926514,4.790978166134255e-05,0.01,0.16,
