iteration,accuracy,loss,lr,progress,timestamp
0.0,0.10379999876022339,0.00023815393371651072,0.01,0.0,
100.0,0.7667999863624573,9.615184661788644e-05,0.01,0.005,
200.0,0.7985000014305115,7.020309763711704e-05,0.01,0.01,
300.0,0.8621999621391296,5.618737393725439e-05,0.01,0.015,
400.0,0.8610999584197998,5.224297665190778e-05,0.01,0.02,
500.0,0.8697999715805054,4.850264832229328e-05,0.01,0.025,
600.0,0.8795999884605408,4.548757892016824e-05,0.01,0.03,
700.0,0.8851000070571899,4.3618967213572046e-05,0.01,0.035,
800.0,0.8788999915122986,4.3152733373336834e-05,0.01,0.04,
900.0,0.875499963760376,4.3014923777137804e-05,0.01,0.045,
1000.0,0.8923999667167664,3.996339569997693e-05,0.01,0.05,
1100.0,0.8955000042915344,3.939373746389562e-05,0.01,0.055,
1200.0,0.8940999507904053,3.881622120483671e-05,0.01,0.06,
1300.0,0.8976999521255493,3.8164825015655696e-05,0.01,0.065,
1400.0,0.896399974822998,3.778077585116825e-05,0.01,0.07,
1500.0,0.9004999995231628,3.7088055834950414e-05,0.01,0.075,
1600.0,0.8989999890327454,3.716025545084158e-05,0.01,0.08,
1700.0,0.899399995803833,3.691018267616819e-05,0.01,0.085,
1800.0,0.9004999995231628,3.661079426411116e-05,0.01,0.09,
1900.0,0.9009000062942505,3.606279323970377e-05,0.01,0.095,
2000.0,0.9031999707221985,3.590383178299125e-05,0.01,0.1,
2100.0,0.9030999541282654,3.592341939345036e-05,0.01,0.105,
2200.0,0.9005999565124512,3.567790898512807e-05,0.01,0.11,
2300.0,0.9013999700546265,3.5442469335201864e-05,0.01,0.115,
2400.0,0.9043999910354614,3.503548273234361e-05,0.01,0.12,
2500.0,0.9055999517440796,3.490462403371401e-05,0.01,0.125,
2600.0,0.9035999774932861,3.4725828432948445e-05,0.01,0.13,
2700.0,0.9030999541282654,3.495168677588339e-05,0.01,0.135,
2800.0,0.9009999632835388,3.546799045946591e-05,0.01,0.14,
2900.0,0.9048999547958374,3.4595828072859147e-05,0.01,0.145,
3000.0,0.9068999886512756,3.3884103901091747e-05,0.01,0.15,
3100.0,0.9088000059127808,3.3909088699898185e-05,0.01,0.155,
3200.0,0.9084999561309814,3.345613359554666e-05,0.01,0.16,
3300.0,0.9019999504089355,3.4058619414129836e-05,0.01,0.165,
3400.0,0.9060999751091003,3.402852748746711e-05,0.01,0.17,
3500.0,0.9092999696731567,3.366530220856369e-05,0.01,0.175,
