iteration,accuracy,loss,lr,progress,timestamp
0.0,0.10329999774694443,0.00023598714388964033,0.01,0.0,
100.0,0.6730999946594238,0.00013622409930389494,0.01,0.005,
200.0,0.6947999596595764,0.00010877343403844857,0.01,0.01,
300.0,0.8191999793052673,8.886190769074508e-05,0.01,0.015,
400.0,0.789900004863739,8.317494730710281e-05,0.01,0.02,
500.0,0.8296999931335449,7.711915957935952e-05,0.01,0.025,
600.0,0.8447999954223633,7.199852529113463e-05,0.01,0.03,
700.0,0.8388999700546265,7.174377762128528e-05,0.01,0.035,
800.0,0.8395999670028687,7.014681451112962e-05,0.01,0.04,
900.0,0.8367999792098999,6.882804367108237e-05,0.01,0.045,
1000.0,0.8536999821662903,6.599017555022526e-05,0.01,0.05,
1100.0,0.8669999837875366,6.314285172769655e-05,0.01,0.055,
1200.0,0.8636999726295471,6.323692542613816e-05,0.01,0.06,
1300.0,0.870199978351593,6.137001873722044e-05,0.01,0.065,
1400.0,0.8657999634742737,6.203919236863504e-05,0.01,0.07,
1500.0,0.8739999532699585,5.937559982122247e-05,0.01,0.075,
1600.0,0.8722999691963196,5.9520636599938115e-05,0.01,0.08,
1700.0,0.8600999712944031,6.110546405186523e-05,0.01,0.085,
1800.0,0.8756999969482422,5.844090249774329e-05,0.01,0.09,
1900.0,0.8643999695777893,5.953181048704607e-05,0.01,0.095,
2000.0,0.8748999834060669,5.788824882732433e-05,0.01,0.1,
2100.0,0.8757999539375305,5.73949298021499e-05,0.01,0.105,
2200.0,0.8755999803543091,5.706153808668699e-05,0.01,0.11,
2300.0,0.8804999589920044,5.689168419194968e-05,0.01,0.115,
2400.0,0.8772000074386597,5.7977355511206374e-05,0.01,0.12,
2500.0,0.8894999623298645,5.5368416815790456e-05,0.01,0.125,
2600.0,0.8741999864578247,5.712410527756454e-05,0.01,0.13,
2700.0,0.8718000054359436,5.712850867769499e-05,0.01,0.135,
2800.0,0.876800000667572,5.651061991975964e-05,0.01,0.14,
2900.0,0.8732999563217163,5.751621701525089e-05,0.01,0.145,
3000.0,0.8682999610900879,5.671840131867748e-05,0.01,0.15,
3100.0,0.8660999536514282,5.71875896449845e-05,0.01,0.155,
3200.0,0.8781999945640564,5.6162351540872084e-05,0.01,0.16,
3300.0,0.8658999800682068,5.773376384011992e-05,0.01,0.165,
3400.0,0.8809999823570251,5.452020140901509e-05,0.01,0.17,
3500.0,0.8807999491691589,5.466679596213029e-05,0.01,0.175,
3600.0,0.8877999782562256,5.4529249337081444e-05,0.01,0.18,
3700.0,0.8728999495506287,5.5885355590710066e-05,0.01,0.185,
3800.0,0.8809999823570251,5.484923593462602e-05,0.01,0.19,
3900.0,0.8689999580383301,5.5529805296935286e-05,0.01,0.195,
4000.0,0.880299985408783,5.383123391761514e-05,0.01,0.2,
4100.0,0.873199999332428,5.5314068896977525e-05,0.01,0.205,
4200.0,0.8794999718666077,5.458628973674419e-05,0.01,0.21,
4300.0,0.8919999599456787,5.281038367474909e-05,0.01,0.215,
4400.0,0.8885999917984009,5.314326715637279e-05,0.01,0.22,
4500.0,0.8941999673843384,5.297241304415691e-05,0.01,0.225,
4600.0,0.8822000026702881,5.407178714663213e-05,0.01,0.23,
4700.0,0.8725999593734741,5.59426735435686e-05,0.01,0.235,
4800.0,0.8833000063896179,5.481755243186231e-05,0.01,0.24,
4900.0,0.882599949836731,5.4357442620961064e-05,0.01,0.245,
5000.0,0.8716999888420105,5.565635639534226e-05,0.01,0.25,
5100.0,0.8920999765396118,5.286487982676094e-05,0.01,0.255,
5200.0,0.8849999904632568,5.3488956608013716e-05,0.01,0.26,
5300.0,0.8792999982833862,5.413473628281433e-05,0.01,0.265,
5400.0,0.8876999616622925,5.303863683513711e-05,0.01,0.27,
5500.0,0.8887999653816223,5.25952143932254e-05,0.01,0.275,
5600.0,0.8841999769210815,5.376802656796133e-05,0.01,0.28,
5700.0,0.8718000054359436,5.4620568165175534e-05,0.01,0.285,
5800.0,0.8851999640464783,5.324070358490756e-05,0.01,0.29,
5900.0,0.8841999769210815,5.347374510979666e-05,0.01,0.295,
6000.0,0.8718999624252319,5.4423934264158296e-05,0.01,0.3,
6100.0,0.8835999965667725,5.34382288300691e-05,0.01,0.305,
6200.0,0.8835999965667725,5.28047535028291e-05,0.01,0.31,
6300.0,0.8906999826431274,5.202063376181716e-05,0.01,0.315,
6400.0,0.8734999895095825,5.44218255628033e-05,0.01,0.32,
6500.0,0.884399950504303,5.314764680661519e-05,0.01,0.325,
6600.0,0.8781999945640564,5.404056899756943e-05,0.01,0.33,
6700.0,0.882599949836731,5.3824640330863384e-05,0.01,0.335,
6800.0,0.8761999607086182,5.4623104749153276e-05,0.01,0.34,
6900.0,0.8780999779701233,5.429243817217298e-05,0.01,0.345,
7000.0,0.8810999989509583,5.402758898447491e-05,0.01,0.35,
7100.0,0.8862999677658081,5.254867064756926e-05,0.01,0.355,
7200.0,0.8817999958992004,5.329588403169222e-05,0.01,0.36,
7300.0,0.887499988079071,5.241555561078616e-05,0.01,0.365,
7400.0,0.889799952507019,5.259653157479943e-05,0.01,0.37,
7500.0,0.87909996509552,5.3832871230792515e-05,0.01,0.375,
7600.0,0.8886999487876892,5.2449022624874066e-05,0.01,0.38,
7700.0,0.8920999765396118,5.237607187196513e-05,0.01,0.385,
7800.0,0.8865999579429626,5.3531614916093975e-05,0.01,0.39,
7900.0,0.8934999704360962,5.211561924907019e-05,0.01,0.395,
8000.0,0.8878999948501587,5.25936738684387e-05,0.01,0.4,
8100.0,0.8804000020027161,5.450676154542289e-05,0.01,0.405,
8200.0,0.8858000040054321,5.284716311008807e-05,0.01,0.41,
8300.0,0.8890999555587769,5.3154046362192134e-05,0.01,0.415,
8400.0,0.8868999481201172,5.334095691474288e-05,0.01,0.42,
8500.0,0.8871999979019165,5.2533906778126964e-05,0.01,0.425,
8600.0,0.8883000016212463,5.205701710698709e-05,0.01,0.43,
8700.0,0.8863999843597412,5.238413315034949e-05,0.01,0.435,
8800.0,0.8693000078201294,5.5121822457139716e-05,0.01,0.44,
8900.0,0.889799952507019,5.195942143628734e-05,0.01,0.445,
9000.0,0.8805999755859375,5.288302913069065e-05,0.01,0.45,
9100.0,0.8866999745368958,5.2454468794559456e-05,0.01,0.455,
9200.0,0.8896999955177307,5.210489729593356e-05,0.01,0.46,
9300.0,0.8841999769210815,5.287311512558848e-05,0.01,0.465,
9400.0,0.889799952507019,5.196959824133546e-05,0.01,0.47,
9500.0,0.8863999843597412,5.181980228250356e-05,0.01,0.475,
9600.0,0.8886999487876892,5.207788418645186e-05,0.01,0.48,
9700.0,0.8847000002861023,5.327922062188725e-05,0.01,0.485,
9800.0,0.877299964427948,5.283433896018225e-05,0.01,0.49,
9900.0,0.8913999795913696,5.224503572215237e-05,0.01,0.495,
10000.0,0.8819999694824219,5.186919888093313e-05,0.01,0.5,
10100.0,0.8842999935150146,5.224049996055719e-05,0.01,0.505,
10200.0,0.8830999732017517,5.308441893960285e-05,0.01,0.51,
10300.0,0.8714999556541443,5.473204388133398e-05,0.01,0.515,
10400.0,0.8818999528884888,5.325398769787504e-05,0.01,0.52,
10500.0,0.8840000033378601,5.261195415382834e-05,0.01,0.525,
10600.0,0.8840999603271484,5.2630299893205845e-05,0.01,0.53,
10700.0,0.8866999745368958,5.259295332802434e-05,0.01,0.535,
10800.0,0.8775999546051025,5.464636597997222e-05,0.01,0.54,
10900.0,0.8869999647140503,5.237708440459593e-05,0.01,0.545,
11000.0,0.8822000026702881,5.330022065337826e-05,0.01,0.55,
11100.0,0.8772000074386597,5.335411011932619e-05,0.01,0.555,
11200.0,0.8801999688148499,5.359409656697167e-05,0.01,0.56,
11300.0,0.8849999904632568,5.271309086124214e-05,0.01,0.565,
