iteration,accuracy,loss,lr,progress,timestamp
0.0,0.09319999814033508,0.0002454310536096429,0.01,0.0,
100.0,0.7610999941825867,0.00010333985005467515,0.01,0.005,
200.0,0.7856999635696411,8.851071320023021e-05,0.01,0.01,
300.0,0.7913999557495117,8.217774776391182e-05,0.01,0.015,
400.0,0.7973999977111816,7.932891477638425e-05,0.01,0.02,
500.0,0.8015999794006348,7.703028855997206e-05,0.01,0.025,
600.0,0.8007999658584595,7.512871396410794e-05,0.01,0.03,
700.0,0.8050000071525574,7.350819193833468e-05,0.01,0.035,
800.0,0.8051999807357788,7.283276590951671e-05,0.01,0.04,
900.0,0.8080999851226807,7.202784857395677e-05,0.01,0.045,
1000.0,0.8101999759674072,7.124690200631609e-05,0.01,0.05,
1100.0,0.8095999956130981,7.056468102009218e-05,0.01,0.055,
1200.0,0.8105999827384949,7.052387413672413e-05,0.01,0.06,
1300.0,0.8116999864578247,7.063832926104331e-05,0.01,0.065,
1400.0,0.8126999735832214,6.9954595456172e-05,0.01,0.07,
1500.0,0.8119999766349792,6.96722136447492e-05,0.01,0.075,
1600.0,0.8150999546051025,6.874454568119609e-05,0.01,0.08,
1700.0,0.8136000037193298,6.924138193655608e-05,0.01,0.085,
1800.0,0.814300000667572,6.849118774101791e-05,0.01,0.09,
1900.0,0.814799964427948,6.867218277866763e-05,0.01,0.095,
2000.0,0.8147000074386597,6.8428524047075e-05,0.01,0.1,
2100.0,0.8154999613761902,6.787434043051237e-05,0.01,0.105,
2200.0,0.8154999613761902,6.788085502423691e-05,0.01,0.11,
2300.0,0.8163999915122986,6.82296263355431e-05,0.01,0.115,
2400.0,0.8156999945640564,6.754033506132795e-05,0.01,0.12,
2500.0,0.8166999816894531,6.735587584051422e-05,0.01,0.125,
2600.0,0.818399965763092,6.752346637715265e-05,0.01,0.13,
2700.0,0.81659996509552,6.73377176644123e-05,0.01,0.135,
2800.0,0.8172000050544739,6.737576970381049e-05,0.01,0.14,
2900.0,0.8174999952316284,6.661788800547807e-05,0.01,0.145,
3000.0,0.8161999583244324,6.759294988616128e-05,0.01,0.15,
3100.0,0.8172000050544739,6.684906686802812e-05,0.01,0.155,
3200.0,0.8176999688148499,6.67803451572641e-05,0.01,0.16,
3300.0,0.8180999755859375,6.680410249157381e-05,0.01,0.165,
3400.0,0.8170999884605408,6.73155331183188e-05,0.01,0.17,
3500.0,0.8190000057220459,6.655730531364206e-05,0.01,0.175,
3600.0,0.8173999786376953,6.732985642059861e-05,0.01,0.18,
3700.0,0.8181999921798706,6.650938822286882e-05,0.01,0.185,
3800.0,0.8183000087738037,6.633496089674544e-05,0.01,0.19,
3900.0,0.8179999589920044,6.711335363389646e-05,0.01,0.195,
4000.0,0.817799985408783,6.613381524606163e-05,0.01,0.2,
4100.0,0.8187999725341797,6.666922029109532e-05,0.01,0.205,
4200.0,0.8180999755859375,6.662198249957025e-05,0.01,0.21,
4300.0,0.8183000087738037,6.654468275953861e-05,0.01,0.215,
4400.0,0.8187999725341797,6.599619023021512e-05,0.01,0.22,
4500.0,0.817799985408783,6.662150957876005e-05,0.01,0.225,
4600.0,0.8197999596595764,6.634259952777834e-05,0.01,0.23,
4700.0,0.8188999891281128,6.651216641975907e-05,0.01,0.235,
4800.0,0.8190000057220459,6.612434069358953e-05,0.01,0.24,
4900.0,0.8180999755859375,6.63201537986405e-05,0.01,0.245,
5000.0,0.8175999522209167,6.664951499193402e-05,0.01,0.25,
5100.0,0.8187999725341797,6.569947361871037e-05,0.01,0.255,
5200.0,0.8194999694824219,6.604784439066533e-05,0.01,0.26,
5300.0,0.8192999958992004,6.604229434013521e-05,0.01,0.265,
5400.0,0.8188999891281128,6.64343057423771e-05,0.01,0.27,
