iteration,accuracy,loss,lr,progress,timestamp
0.0,0.10799999535083771,0.00024118481182525253,0.01,0.0,
100.0,0.6775000095367432,0.00019471374191818035,0.01,0.005,
200.0,0.718999981880188,0.00017601922004514738,0.01,0.01,
300.0,0.7203999757766724,0.00019184995851175162,0.01,0.015,
400.0,0.7240999937057495,0.00020046724054258102,0.01,0.02,
500.0,0.7287999987602234,0.00020273624775067403,0.01,0.025,
600.0,0.7282999753952026,0.00020692956244473126,0.01,0.03,
700.0,0.7333999872207642,0.00020825114914697573,0.01,0.035,
800.0,0.7333999872207642,0.00020938687911113766,0.01,0.04,
900.0,0.7356999516487122,0.00021153703427600072,0.01,0.045,
1000.0,0.7340999841690063,0.0002124479566954751,0.01,0.05,
1100.0,0.7360999584197998,0.00021166883397618488,0.01,0.055,
1200.0,0.7391999959945679,0.00021145551080025744,0.01,0.06,
1300.0,0.7400999665260315,0.0002107728795911514,0.01,0.065,
1400.0,0.7405999898910522,0.0002116887854116877,0.01,0.07,
1500.0,0.7396999597549438,0.00021203097334423533,0.01,0.075,
1600.0,0.7425999641418457,0.00021201574797717588,0.01,0.08,
1700.0,0.7410999536514282,0.0002134724876395068,0.01,0.085,
1800.0,0.7425000071525574,0.00021213708524553022,0.01,0.09,
1900.0,0.7407999634742737,0.0002143082830873698,0.01,0.095,
2000.0,0.7412999868392944,0.00021294790445916406,0.01,0.1,
2100.0,0.7428999543190002,0.00021308123418992402,0.01,0.105,
2200.0,0.7440999746322632,0.00021186991608076198,0.01,0.11,
2300.0,0.7425999641418457,0.00021322581931734825,0.01,0.115,
2400.0,0.7450000047683716,0.00020955879865206033,0.01,0.12,
2500.0,0.745199978351593,0.00021016041811481158,0.01,0.125,
2600.0,0.7455999851226807,0.00021086400926472053,0.01,0.13,
2700.0,0.7453999519348145,0.00020865985677801728,0.01,0.135,
2800.0,0.7459999918937683,0.0002091884447827074,0.01,0.14,
2900.0,0.7457999587059021,0.00020897449779720635,0.01,0.145,
3000.0,0.7465999722480774,0.00020833687282163186,0.01,0.15,
3100.0,0.7468999624252319,0.00020844330084557284,0.01,0.155,
3200.0,0.7459999918937683,0.00020917263262935825,0.01,0.16,
3300.0,0.7471999526023865,0.00020729998193142154,0.01,0.165,
3400.0,0.7445999979972839,0.00020971814760241663,0.01,0.17,
3500.0,0.7457999587059021,0.00020845017125797197,0.01,0.175,
3600.0,0.7457999587059021,0.000209118620857315,0.01,0.18,
3700.0,0.7484999895095825,0.00020531086851085544,0.01,0.185,
3800.0,0.7482999563217163,0.00020631884746791075,0.01,0.19,
3900.0,0.7471999526023865,0.00020634430397357143,0.01,0.195,
4000.0,0.7473999857902527,0.0002049240205567893,0.01,0.2,
4100.0,0.7479999661445618,0.00020549955292945807,0.01,0.205,
4200.0,0.7476999759674072,0.00020390855306808603,0.01,0.21,
4300.0,0.7477999925613403,0.00020490443641476392,0.01,0.215,
4400.0,0.7477999925613403,0.00020394706997892782,0.01,0.22,
4500.0,0.7482999563217163,0.00020332872699586804,0.01,0.225,
4600.0,0.7479000091552734,0.00020383230464136837,0.01,0.23,
4700.0,0.7484999895095825,0.0002026808708212772,0.01,0.235,
4800.0,0.7476999759674072,0.00020348937199844223,0.01,0.24,
4900.0,0.7477999925613403,0.0002037611143888186,0.01,0.245,
5000.0,0.7482999563217163,0.00020211293340072887,0.01,0.25,
5100.0,0.7486000061035156,0.00020279995051908437,0.01,0.255,
5200.0,0.748699963092804,0.0002018382135076603,0.01,0.26,
5300.0,0.7479999661445618,0.00020276341801430477,0.01,0.265,
5400.0,0.7484999895095825,0.00020215339183656767,0.01,0.27,
5500.0,0.7475000023841858,0.00020163454886693716,0.01,0.275,
5600.0,0.7479000091552734,0.00020155501439674868,0.01,0.28,
5700.0,0.7479000091552734,0.00020127909113330428,0.01,0.285,
5800.0,0.7482999563217163,0.0002010902089046399,0.01,0.29,
5900.0,0.7490999698638916,0.0001991509404572382,0.01,0.295,
6000.0,0.7486000061035156,0.00020048554508756618,0.01,0.3,
6100.0,0.7477999925613403,0.00020018433562599022,0.01,0.305,
6200.0,0.7484999895095825,0.00020028958616992286,0.01,0.31,
6300.0,0.7491999864578247,0.00019892888940714016,0.01,0.315,
6400.0,0.7482999563217163,0.00020068630294837916,0.01,0.32,
6500.0,0.7493000030517578,0.00019879977926629634,0.01,0.325,
6600.0,0.7489999532699585,0.0001999450791591317,0.01,0.33,
6700.0,0.7480999827384949,0.00019933714106405478,0.01,0.335,
6800.0,0.7479999661445618,0.00019972131447826624,0.01,0.34,
6900.0,0.748199999332428,0.00019979225155952716,0.01,0.345,
7000.0,0.7493000030517578,0.00019804186703872642,0.01,0.35,
7100.0,0.7480999827384949,0.00019906964984257676,0.01,0.355,
7200.0,0.75,0.00019643498698668498,0.01,0.36,
7300.0,0.7479000091552734,0.00019937127554353626,0.01,0.365,
7400.0,0.7493000030517578,0.00019809969768136535,0.01,0.37,
7500.0,0.7484999895095825,0.00019725186319389246,0.01,0.375,
7600.0,0.7497000098228455,0.00019666406479836222,0.01,0.38,
7700.0,0.7480999827384949,0.00019790183796003784,0.01,0.385,
7800.0,0.7488999962806702,0.00019808089412658113,0.01,0.39,
7900.0,0.7493000030517578,0.00019765922552265989,0.01,0.395,
8000.0,0.746999979019165,0.00020038748934344804,0.01,0.4,
8100.0,0.7491999864578247,0.00019813018537443773,0.01,0.405,
8200.0,0.7504000067710876,0.00019611621330057472,0.01,0.41,
8300.0,0.7490999698638916,0.00019801394253781012,0.01,0.415,
8400.0,0.7490999698638916,0.00019667571838608816,0.01,0.42,
8500.0,0.7494999766349792,0.00019742429776992474,0.01,0.425,
8600.0,0.7493000030517578,0.0001963900999916414,0.01,0.43,
8700.0,0.7495999932289124,0.00019646495696825812,0.01,0.435,
8800.0,0.7487999796867371,0.00019790370513801412,0.01,0.44,
8900.0,0.7488999962806702,0.00019770155736707662,0.01,0.445,
