iteration,accuracy,loss,lr,progress,timestamp
0.0,0.09459999948740005,0.00025594858672025434,0.01,0.0,
100.0,0.6157999634742737,0.0001373503680443759,0.01,0.005,
200.0,0.7275999784469604,9.617598811392196e-05,0.01,0.01,
300.0,0.7534999847412109,8.941605556336134e-05,0.01,0.015,
400.0,0.7616999745368958,8.580161312617456e-05,0.01,0.02,
500.0,0.7683999538421631,8.362961403534665e-05,0.01,0.025,
600.0,0.7759000062942505,8.084944470505426e-05,0.01,0.03,
700.0,0.7791999578475952,7.906554829752368e-05,0.01,0.035,
800.0,0.7800999879837036,7.8396274445952e-05,0.01,0.04,
900.0,0.7866999506950378,7.698320250472424e-05,0.01,0.045,
1000.0,0.7858999967575073,7.651911374311897e-05,0.01,0.05,
1100.0,0.7842999696731567,7.611053798307179e-05,0.01,0.055,
1200.0,0.7896999716758728,7.526540415507844e-05,0.01,0.06,
1300.0,0.7874000072479248,7.523591614913756e-05,0.01,0.065,
1400.0,0.7906999588012695,7.521940201331897e-05,0.01,0.07,
1500.0,0.7906999588012695,7.47244710449491e-05,0.01,0.075,
1600.0,0.7917999625205994,7.396093425984806e-05,0.01,0.08,
1700.0,0.7928999662399292,7.355954316741451e-05,0.01,0.085,
1800.0,0.7928000092506409,7.377885113192522e-05,0.01,0.09,
1900.0,0.79339998960495,7.356755579712167e-05,0.01,0.095,
2000.0,0.7919999957084656,7.26955787644002e-05,0.01,0.1,
2100.0,0.7936999797821045,7.326472614202743e-05,0.01,0.105,
2200.0,0.7938999533653259,7.262097936502546e-05,0.01,0.11,
2300.0,0.7935999631881714,7.326583859919184e-05,0.01,0.115,
2400.0,0.7940999865531921,7.285479939626533e-05,0.01,0.12,
2500.0,0.7950999736785889,7.241332385644837e-05,0.01,0.125,
2600.0,0.7967000007629395,7.197895150630695e-05,0.01,0.13,
2700.0,0.7960999608039856,7.245525840194891e-05,0.01,0.135,
2800.0,0.7985000014305115,7.183789543114115e-05,0.01,0.14,
2900.0,0.795699954032898,7.173382555061759e-05,0.01,0.145,
3000.0,0.7967000007629395,7.172029957930922e-05,0.01,0.15,
3100.0,0.7961999773979187,7.11475416584808e-05,0.01,0.155,
3200.0,0.795799970626831,7.111408555663405e-05,0.01,0.16,
3300.0,0.7971999645233154,7.155149287563044e-05,0.01,0.165,
3400.0,0.7985000014305115,7.12542204977633e-05,0.01,0.17,
3500.0,0.7989999651908875,7.116932512273056e-05,0.01,0.175,
3600.0,0.7967999577522278,7.19001098701013e-05,0.01,0.18,
3700.0,0.7963999509811401,7.116321252686828e-05,0.01,0.185,
3800.0,0.7975999712944031,7.11154861569238e-05,0.01,0.19,
3900.0,0.7964999675750732,7.135223854284226e-05,0.01,0.195,
4000.0,0.79749995470047,7.064972231300942e-05,0.01,0.2,
4100.0,0.7980999946594238,7.124431338651953e-05,0.01,0.205,
4200.0,0.79749995470047,7.103514103162456e-05,0.01,0.21,
4300.0,0.7993999719619751,7.093567265566372e-05,0.01,0.215,
4400.0,0.7985000014305115,7.059642746510418e-05,0.01,0.22,
4500.0,0.7990999817848206,7.09598911944834e-05,0.01,0.225,
4600.0,0.7990999817848206,7.041267177779084e-05,0.01,0.23,
4700.0,0.8008999824523926,7.045063224204983e-05,0.01,0.235,
4800.0,0.7989000082015991,7.055169355353072e-05,0.01,0.24,
4900.0,0.8007999658584595,6.998720255259779e-05,0.01,0.245,
5000.0,0.7991999983787537,7.045418372575321e-05,0.01,0.25,
5100.0,0.7996999621391296,7.054104914909156e-05,0.01,0.255,
5200.0,0.7999999523162842,7.048305938676628e-05,0.01,0.26,
5300.0,0.8008999824523926,6.991574429916716e-05,0.01,0.265,
5400.0,0.7981999516487122,7.067460072509605e-05,0.01,0.27,
5500.0,0.8003999590873718,7.019064236750721e-05,0.01,0.275,
5600.0,0.799299955368042,7.023057519137224e-05,0.01,0.28,
5700.0,0.8007000088691711,7.003655379083718e-05,0.01,0.285,
5800.0,0.8004999756813049,7.00909034192429e-05,0.01,0.29,
5900.0,0.798799991607666,7.035590026384553e-05,0.01,0.295,
6000.0,0.8007000088691711,6.996174003446284e-05,0.01,0.3,
6100.0,0.8014999628067017,6.971503033860494e-05,0.01,0.305,
6200.0,0.8000999689102173,7.029336430600684e-05,0.01,0.31,
6300.0,0.801099956035614,6.976883968415536e-05,0.01,0.315,
6400.0,0.8014000058174133,7.010261225100308e-05,0.01,0.32,
6500.0,0.8017999529838562,6.964073988124948e-05,0.01,0.325,
6600.0,0.8001999855041504,7.047690822811542e-05,0.01,0.33,
6700.0,0.8015999794006348,7.040501002239428e-05,0.01,0.335,
6800.0,0.8011999726295471,7.010926632694306e-05,0.01,0.34,
6900.0,0.8023999929428101,6.964662583646244e-05,0.01,0.345,
7000.0,0.8024999499320984,6.982207576287885e-05,0.01,0.35,
7100.0,0.8007000088691711,7.030555653874772e-05,0.01,0.355,
7200.0,0.8023999929428101,6.957375850604933e-05,0.01,0.36,
7300.0,0.8021999597549438,6.968475077100857e-05,0.01,0.365,
7400.0,0.8019999861717224,6.974378805072446e-05,0.01,0.37,
7500.0,0.8034999966621399,6.97052095944158e-05,0.01,0.375,
7600.0,0.802299976348877,7.013199571085896e-05,0.01,0.38,
7700.0,0.8003999590873718,7.049008601689783e-05,0.01,0.385,
7800.0,0.8024999499320984,6.969786149571932e-05,0.01,0.39,
7900.0,0.8036999702453613,6.969141360864268e-05,0.01,0.395,
