iteration,accuracy,loss,lr,progress,timestamp
0.0,0.1437000036239624,0.00025649769477156424,0.01,0.0,
100.0,0.7662000060081482,0.00010476440352599268,0.01,0.005,
200.0,0.785099983215332,8.987127303523194e-05,0.01,0.01,
300.0,0.7924999594688416,8.307947131278808e-05,0.01,0.015,
400.0,0.7971000075340271,7.963418956139289e-05,0.01,0.02,
500.0,0.8012999892234802,7.698622343493868e-05,0.01,0.025,
600.0,0.8025999665260315,7.499005245387691e-05,0.01,0.03,
700.0,0.8029999732971191,7.392026608875134e-05,0.01,0.035,
800.0,0.8072999715805054,7.325776029800933e-05,0.01,0.04,
900.0,0.8078999519348145,7.158997642192648e-05,0.01,0.045,
1000.0,0.8107999563217163,7.141438469244256e-05,0.01,0.05,
1100.0,0.8091999888420105,7.146517108103864e-05,0.01,0.055,
1200.0,0.810699999332428,7.071308807933766e-05,0.01,0.06,
1300.0,0.8111000061035156,7.039282743139445e-05,0.01,0.065,
1400.0,0.8123999834060669,6.977334177066355e-05,0.01,0.07,
1500.0,0.8122999668121338,6.997424621883107e-05,0.01,0.075,
1600.0,0.8126999735832214,6.93583016953763e-05,0.01,0.08,
1700.0,0.8131999969482422,6.854934137037538e-05,0.01,0.085,
1800.0,0.812999963760376,6.899611471466045e-05,0.01,0.09,
1900.0,0.8133999705314636,6.861247985316558e-05,0.01,0.095,
2000.0,0.8136999607086182,6.817622403623147e-05,0.01,0.1,
2100.0,0.8134999871253967,6.758146179285254e-05,0.01,0.105,
2200.0,0.8143999576568604,6.771948442803734e-05,0.01,0.11,
2300.0,0.814799964427948,6.815018950999277e-05,0.01,0.115,
2400.0,0.8158999681472778,6.770997560935957e-05,0.01,0.12,
2500.0,0.8152999877929688,6.745910560051194e-05,0.01,0.125,
2600.0,0.8166999816894531,6.768789820900598e-05,0.01,0.13,
2700.0,0.814799964427948,6.757585967272629e-05,0.01,0.135,
2800.0,0.8169999718666077,6.776675722037103e-05,0.01,0.14,
2900.0,0.8152999877929688,6.758525308816617e-05,0.01,0.145,
3000.0,0.8165000081062317,6.698823860335013e-05,0.01,0.15,
3100.0,0.816100001335144,6.705674604685676e-05,0.01,0.155,
3200.0,0.8168999552726746,6.659116071145207e-05,0.01,0.16,
3300.0,0.8175999522209167,6.688092727668019e-05,0.01,0.165,
3400.0,0.8154000043869019,6.750241606541475e-05,0.01,0.17,
3500.0,0.8166999816894531,6.660003837409034e-05,0.01,0.175,
3600.0,0.8170999884605408,6.694476239822382e-05,0.01,0.18,
3700.0,0.8187999725341797,6.657086671201464e-05,0.01,0.185,
3800.0,0.8172999620437622,6.691562784038017e-05,0.01,0.19,
3900.0,0.8174999952316284,6.648944765863676e-05,0.01,0.195,
4000.0,0.8174999952316284,6.664484706948534e-05,0.01,0.2,
4100.0,0.8174999952316284,6.658245862576668e-05,0.01,0.205,
4200.0,0.8188999891281128,6.672304372012538e-05,0.01,0.21,
4300.0,0.8184999823570251,6.634029697740459e-05,0.01,0.215,
4400.0,0.8176999688148499,6.643063925949037e-05,0.01,0.22,
4500.0,0.8168999552726746,6.667056981704504e-05,0.01,0.225,
4600.0,0.8180999755859375,6.688475823688287e-05,0.01,0.23,
4700.0,0.8172000050544739,6.629286196706585e-05,0.01,0.235,
4800.0,0.8181999921798706,6.600842732352345e-05,0.01,0.24,
4900.0,0.819599986076355,6.61363977408682e-05,0.01,0.245,
5000.0,0.8172000050544739,6.632585764017212e-05,0.01,0.25,
