iteration,accuracy,loss,lr,progress,timestamp
0.0,0.10769999772310257,0.000235078525932961,0.01,0.0,
100.0,0.5019999742507935,0.00015868356033455337,0.01,0.005,
200.0,0.5346999764442444,0.00017510376251192154,0.01,0.01,
300.0,0.5860999822616577,0.00020557791780532103,0.01,0.015,
400.0,0.500499963760376,0.00024124635241649478,0.01,0.02,
500.0,0.4887000024318695,0.00029491918935082846,0.01,0.025,
600.0,0.5985999703407288,0.00027101469811538395,0.01,0.03,
700.0,0.5141000151634216,0.00029709915892927214,0.01,0.035,
800.0,0.6741999983787537,0.00016992336592165105,0.01,0.04,
900.0,0.645799994468689,0.00021813654246030802,0.01,0.045,
1000.0,0.7409999966621399,0.0001065812273381259,0.01,0.05,
1100.0,0.7475999593734741,0.00010095484309939029,0.01,0.055,
1200.0,0.820099949836731,6.670356150789953e-05,0.01,0.06,
1300.0,0.8434000015258789,5.639930071336661e-05,0.01,0.065,
1400.0,0.885699987411499,4.036277685419727e-05,0.01,0.07,
1500.0,0.8924999833106995,3.789865514934558e-05,0.01,0.075,
1600.0,0.8937999606132507,3.707693437568619e-05,0.01,0.08,
1700.0,0.8949999809265137,3.622093799954695e-05,0.01,0.085,
1800.0,0.8969999551773071,3.5632342761656156e-05,0.01,0.09,
1900.0,0.8991000056266785,3.4983205945776356e-05,0.01,0.095,
2000.0,0.8999999761581421,3.470472535555871e-05,0.01,0.1,
2100.0,0.9005999565124512,3.441208643907315e-05,0.01,0.105,
2200.0,0.9025999903678894,3.394385759318604e-05,0.01,0.11,
2300.0,0.9024999737739563,3.3612229364820644e-05,0.01,0.115,
2400.0,0.9044999480247498,3.34046619236419e-05,0.01,0.12,
2500.0,0.9042999744415283,3.340361365475725e-05,0.01,0.125,
2600.0,0.9039999842643738,3.322451871265064e-05,0.01,0.13,
2700.0,0.9066999554634094,3.3256174608764094e-05,0.01,0.135,
2800.0,0.9072999954223633,3.308968742410229e-05,0.01,0.14,
2900.0,0.9077000021934509,3.2964910102859345e-05,0.01,0.145,
3000.0,0.9062999486923218,3.298659563351691e-05,0.01,0.15,
3100.0,0.9081999659538269,3.293849333638268e-05,0.01,0.155,
3200.0,0.9090999960899353,3.309042023052919e-05,0.01,0.16,
3300.0,0.9083999991416931,3.294496334092623e-05,0.01,0.165,
3400.0,0.9083999991416931,3.2890285812187535e-05,0.01,0.17,
3500.0,0.9104999899864197,3.287880079610076e-05,0.01,0.175,
3600.0,0.9090999960899353,3.3001240538008726e-05,0.01,0.18,
3700.0,0.9109999537467957,3.303948195747347e-05,0.01,0.185,
3800.0,0.9110999703407288,3.2956331485932244e-05,0.01,0.19,
3900.0,0.9116999506950378,3.3012500188606756e-05,0.01,0.195,
4000.0,0.9111999869346619,3.301081042796565e-05,0.01,0.2,
4100.0,0.9116999506950378,3.2906532297906693e-05,0.01,0.205,
4200.0,0.9103999733924866,3.3029364168053215e-05,0.01,0.21,
4300.0,0.9111999869346619,3.3083300038895674e-05,0.01,0.215,
4400.0,0.9111999869346619,3.3048895278064004e-05,0.01,0.22,
4500.0,0.9124999642372131,3.3076037109538885e-05,0.01,0.225,
4600.0,0.9138000011444092,3.317872315375121e-05,0.01,0.23,
4700.0,0.911899983882904,3.3245986036991035e-05,0.01,0.235,
4800.0,0.913599967956543,3.301847912583527e-05,0.01,0.24,
4900.0,0.9116999506950378,3.3119177299619335e-05,0.01,0.245,
5000.0,0.9107999801635742,3.3328207224821785e-05,0.01,0.25,
5100.0,0.9126999974250793,3.3080545475328015e-05,0.01,0.255,
5200.0,0.9128999710083008,3.3068108946545635e-05,0.01,0.26,
5300.0,0.9131999611854553,3.309790061370635e-05,0.01,0.265,
5400.0,0.9127999544143677,3.306426844396358e-05,0.01,0.27,
5500.0,0.9133999943733215,3.3129302706685775e-05,0.01,0.275,
5600.0,0.9144999980926514,3.3011074759842197e-05,0.01,0.28,
5700.0,0.9110999703407288,3.32171287217805e-05,0.01,0.285,
5800.0,0.9111999869346619,3.310208225076987e-05,0.01,0.29,
5900.0,0.9129999876022339,3.317719353324752e-05,0.01,0.295,
6000.0,0.9139999747276306,3.3053829747147195e-05,0.01,0.3,
6100.0,0.9131999611854553,3.321610510087631e-05,0.01,0.305,
6200.0,0.9140999913215637,3.311490220620853e-05,0.01,0.31,
6300.0,0.9127999544143677,3.31359610568274e-05,0.01,0.315,
6400.0,0.9125999808311462,3.3011069999993384e-05,0.01,0.32,
6500.0,0.9146999716758728,3.3101081112414515e-05,0.01,0.325,
6600.0,0.9138000011444092,3.3077391100831105e-05,0.01,0.33,
6700.0,0.9121999740600586,3.334780944555305e-05,0.01,0.335,
6800.0,0.9095999598503113,3.332247054534554e-05,0.01,0.34,
6900.0,0.9138999581336975,3.303874834435129e-05,0.01,0.345,
7000.0,0.9139999747276306,3.303998685239859e-05,0.01,0.35,
7100.0,0.9127999544143677,3.308693922086307e-05,0.01,0.355,
7200.0,0.9121999740600586,3.309936279267816e-05,0.01,0.36,
7300.0,0.9122999906539917,3.313511281882036e-05,0.01,0.365,
7400.0,0.9139999747276306,3.296704111178e-05,0.01,0.37,
7500.0,0.9127999544143677,3.30473141891682e-05,0.01,0.375,
7600.0,0.91239994764328,3.296701335585993e-05,0.01,0.38,
7700.0,0.9138000011444092,3.296021765776701e-05,0.01,0.385,
7800.0,0.9115999937057495,3.330260946209884e-05,0.01,0.39,
7900.0,0.9136999845504761,3.310598252441073e-05,0.01,0.395,
8000.0,0.9143999814987183,3.303208453457318e-05,0.01,0.4,
8100.0,0.9134999513626099,3.313347090298432e-05,0.01,0.405,
8200.0,0.9147999882698059,3.298369267731875e-05,0.01,0.41,
8300.0,0.9144999980926514,3.295535701798219e-05,0.01,0.415,
8400.0,0.9127999544143677,3.2987174214533764e-05,0.01,0.42,
8500.0,0.9136999845504761,3.288334051078278e-05,0.01,0.425,
8600.0,0.9129999876022339,3.3055564728262784e-05,0.01,0.43,
8700.0,0.9126999974250793,3.289125329335068e-05,0.01,0.435,
8800.0,0.9136999845504761,3.290804974435119e-05,0.01,0.44,
8900.0,0.9134999513626099,3.2896511617431436e-05,0.01,0.445,
9000.0,0.9122999906539917,3.297277052637842e-05,0.01,0.45,
9100.0,0.9149999618530273,3.2983077427948777e-05,0.01,0.455,
9200.0,0.9126999974250793,3.300186024872405e-05,0.01,0.46,
9300.0,0.9122999906539917,3.305501323007846e-05,0.01,0.465,
9400.0,0.9145999550819397,3.283847382266249e-05,0.01,0.47,
9500.0,0.9139999747276306,3.296636875696116e-05,0.01,0.475,
9600.0,0.9143999814987183,3.2998361176472395e-05,0.01,0.48,
9700.0,0.914900004863739,3.2868509368707245e-05,0.01,0.485,
9800.0,0.9152999520301819,3.300398332047128e-05,0.01,0.49,
9900.0,0.9164999723434448,3.293939944437897e-05,0.01,0.495,
