iteration,accuracy,loss,lr,progress,timestamp
0.0,0.09219999611377716,0.00023635158486549811,0.01,0.0,
100.0,0.8222999572753906,8.0921169474322e-05,0.01,0.005,
200.0,0.8590999841690063,6.143291927039162e-05,0.01,0.01,
300.0,0.8698999881744385,5.3532949087682246e-05,0.01,0.015,
400.0,0.8798999786376953,4.9225848505774076e-05,0.01,0.02,
500.0,0.8816999793052673,4.628120177174864e-05,0.01,0.025,
600.0,0.8862999677658081,4.4311909898411814e-05,0.01,0.03,
700.0,0.887999951839447,4.25755411695898e-05,0.01,0.035,
800.0,0.8914999961853027,4.1445897339454316e-05,0.01,0.04,
900.0,0.8946999907493591,4.0388140580445736e-05,0.01,0.045,
1000.0,0.8960999846458435,3.9607137943640724e-05,0.01,0.05,
1100.0,0.8960999846458435,3.886283613632574e-05,0.01,0.055,
1200.0,0.8974999785423279,3.820138179791088e-05,0.01,0.06,
1300.0,0.8994999527931213,3.765964524499836e-05,0.01,0.065,
1400.0,0.8978999853134155,3.730045850301969e-05,0.01,0.07,
1500.0,0.9000999927520752,3.685462584238489e-05,0.01,0.075,
1600.0,0.901199996471405,3.664496357589257e-05,0.01,0.08,
1700.0,0.9031999707221985,3.613507594384368e-05,0.01,0.085,
1800.0,0.9039999842643738,3.580556671754147e-05,0.01,0.09,
1900.0,0.9031999707221985,3.562558559533098e-05,0.01,0.095,
2000.0,0.904699981212616,3.535627019837584e-05,0.01,0.1,
2100.0,0.904699981212616,3.511267035102831e-05,0.01,0.105,
2200.0,0.9063999652862549,3.4894291532799734e-05,0.01,0.11,
2300.0,0.9063999652862549,3.4738167116473476e-05,0.01,0.115,
2400.0,0.9059999585151672,3.4423978716340264e-05,0.01,0.12,
2500.0,0.9054999947547913,3.449054467163974e-05,0.01,0.125,
2600.0,0.9080999493598938,3.4287890708445984e-05,0.01,0.13,
2700.0,0.9080999493598938,3.398065998290707e-05,0.01,0.135,
2800.0,0.9091999530792236,3.3854562788628964e-05,0.01,0.14,
2900.0,0.909500002861023,3.375757119030999e-05,0.01,0.145,
3000.0,0.9083999991416931,3.370615372518144e-05,0.01,0.15,
3100.0,0.9090999960899353,3.360392693133629e-05,0.01,0.155,
3200.0,0.9089999794960022,3.340411795638274e-05,0.01,0.16,
3300.0,0.9097999930381775,3.336231043556361e-05,0.01,0.165,
3400.0,0.9101999998092651,3.326795900547966e-05,0.01,0.17,
3500.0,0.9099999666213989,3.314652078335594e-05,0.01,0.175,
3600.0,0.9090999960899353,3.307184199506533e-05,0.01,0.18,
3700.0,0.9097999930381775,3.3042836474786375e-05,0.01,0.185,
3800.0,0.9106000065803528,3.3014670537277036e-05,0.01,0.19,
3900.0,0.9103999733924866,3.286174305932752e-05,0.01,0.195,
4000.0,0.9111999869346619,3.278165830013443e-05,0.01,0.2,
4100.0,0.9104999899864197,3.272354091830907e-05,0.01,0.205,
4200.0,0.9113999605178833,3.269417866846579e-05,0.01,0.21,
4300.0,0.9114999771118164,3.266985463881223e-05,0.01,0.215,
4400.0,0.9110999703407288,3.259726218677542e-05,0.01,0.22,
4500.0,0.9124999642372131,3.2537301430783556e-05,0.01,0.225,
