iteration,accuracy,loss,lr,progress,timestamp
0.0,0.04829999804496765,0.00024621405345313864,0.01,0.0,
100.0,0.8276999592781067,8.471878921958253e-05,0.01,0.005,
200.0,0.8571999669075012,6.408090577464578e-05,0.01,0.01,
300.0,0.8697999715805054,5.56759539857715e-05,0.01,0.015,
400.0,0.8794999718666077,5.0882914271512215e-05,0.01,0.02,
500.0,0.8822000026702881,4.801170324656585e-05,0.01,0.025,
600.0,0.8862999677658081,4.578845963304652e-05,0.01,0.03,
700.0,0.8894999623298645,4.4232525895765974e-05,0.01,0.035,
800.0,0.8912999629974365,4.291378063680979e-05,0.01,0.04,
900.0,0.8930999636650085,4.188812971561116e-05,0.01,0.045,
1000.0,0.8949999809265137,4.1067954990498856e-05,0.01,0.05,
1100.0,0.8971999883651733,4.0319927838127955e-05,0.01,0.055,
1200.0,0.8988999724388123,3.9759862918422505e-05,0.01,0.06,
1300.0,0.9003999829292297,3.926348789611382e-05,0.01,0.065,
1400.0,0.8999999761581421,3.897024793791758e-05,0.01,0.07,
1500.0,0.9006999731063843,3.840934959077679e-05,0.01,0.075,
1600.0,0.9020999670028687,3.79484578915237e-05,0.01,0.08,
1700.0,0.9019999504089355,3.763117413550179e-05,0.01,0.085,
1800.0,0.9037999510765076,3.738879590882353e-05,0.01,0.09,
1900.0,0.9041000008583069,3.7110134619910795e-05,0.01,0.095,
2000.0,0.9048999547958374,3.7002683268578275e-05,0.01,0.1,
2100.0,0.9065999984741211,3.667192576787239e-05,0.01,0.105,
2200.0,0.9057999849319458,3.645233788397271e-05,0.01,0.11,
2300.0,0.9068999886512756,3.6354626049863864e-05,0.01,0.115,
2400.0,0.906499981880188,3.614835933574421e-05,0.01,0.12,
2500.0,0.9070999622344971,3.5984860858068776e-05,0.01,0.125,
2600.0,0.9070999622344971,3.586470382572874e-05,0.01,0.13,
2700.0,0.9071999788284302,3.5647236863996556e-05,0.01,0.135,
2800.0,0.9078999757766724,3.556035102254632e-05,0.01,0.14,
2900.0,0.9081999659538269,3.546216644491361e-05,0.01,0.145,
3000.0,0.9090999960899353,3.5406525550074386e-05,0.01,0.15,
3100.0,0.90829998254776,3.524558986884083e-05,0.01,0.155,
3200.0,0.9088000059127808,3.519548191443762e-05,0.01,0.16,
3300.0,0.9103999733924866,3.504331528652871e-05,0.01,0.165,
3400.0,0.909500002861023,3.4995649030639975e-05,0.01,0.17,
3500.0,0.910099983215332,3.487891587873258e-05,0.01,0.175,
3600.0,0.9101999998092651,3.487759247310594e-05,0.01,0.18,
3700.0,0.9101999998092651,3.474410424377339e-05,0.01,0.185,
3800.0,0.9081999659538269,3.476507414905223e-05,0.01,0.19,
3900.0,0.9102999567985535,3.472732279238205e-05,0.01,0.195,
