iteration,accuracy,loss,lr,progress,timestamp
0.0,0.11409999430179596,0.000257831174543429,0.01,0.0,
100.0,0.835599958896637,8.254110542603926e-05,0.01,0.005,
200.0,0.85999995470047,6.261636673464244e-05,0.01,0.01,
300.0,0.8693999648094177,5.419556738970616e-05,0.01,0.015,
400.0,0.8770999908447266,4.9373310929330944e-05,0.01,0.02,
500.0,0.8833000063896179,4.6336381776185574e-05,0.01,0.025,
600.0,0.8858000040054321,4.425275708911301e-05,0.01,0.03,
700.0,0.8887999653816223,4.268803781753294e-05,0.01,0.035,
800.0,0.8924999833106995,4.1376851859368274e-05,0.01,0.04,
900.0,0.8955000042915344,4.038556540375063e-05,0.01,0.045,
1000.0,0.896399974822998,3.953064194545813e-05,0.01,0.05,
1100.0,0.8981999754905701,3.8808586328870105e-05,0.01,0.055,
1200.0,0.8999999761581421,3.82447426151421e-05,0.01,0.06,
1300.0,0.8984999656677246,3.7709204654474825e-05,0.01,0.065,
1400.0,0.9020999670028687,3.716237871025178e-05,0.01,0.07,
1500.0,0.9027999639511108,3.6765487938910865e-05,0.01,0.075,
1600.0,0.9027999639511108,3.645518355189606e-05,0.01,0.08,
1700.0,0.9047999978065491,3.603023286955045e-05,0.01,0.085,
1800.0,0.904699981212616,3.588564801884014e-05,0.01,0.09,
1900.0,0.9059999585151672,3.558333216286683e-05,0.01,0.095,
2000.0,0.9053999781608582,3.5227548090859394e-05,0.01,0.1,
2100.0,0.9059999585151672,3.506546816249274e-05,0.01,0.105,
2200.0,0.9067999720573425,3.477731362700124e-05,0.01,0.11,
2300.0,0.9062999486923218,3.463475151309231e-05,0.01,0.115,
2400.0,0.9070999622344971,3.4464712613440934e-05,0.01,0.12,
2500.0,0.9075999855995178,3.432408443740726e-05,0.01,0.125,
2600.0,0.9077999591827393,3.411362341661317e-05,0.01,0.13,
2700.0,0.9079999923706055,3.394607416339442e-05,0.01,0.135,
2800.0,0.9077000021934509,3.382723328452562e-05,0.01,0.14,
2900.0,0.910099983215332,3.371897878789117e-05,0.01,0.145,
3000.0,0.9093999862670898,3.352784451109132e-05,0.01,0.15,
3100.0,0.909500002861023,3.349998213506903e-05,0.01,0.155,
3200.0,0.909500002861023,3.339410644426319e-05,0.01,0.16,
3300.0,0.9107999801635742,3.336412060898923e-05,0.01,0.165,
3400.0,0.9101999998092651,3.333943905134087e-05,0.01,0.17,
3500.0,0.9093999862670898,3.306633087302164e-05,0.01,0.175,
3600.0,0.9106000065803528,3.298315492711497e-05,0.01,0.18,
3700.0,0.911300003528595,3.294224314677905e-05,0.01,0.185,
3800.0,0.911799967288971,3.2859849849904796e-05,0.01,0.19,
3900.0,0.9111999869346619,3.277336563637122e-05,0.01,0.195,
4000.0,0.9103999733924866,3.272024839006527e-05,0.01,0.2,
