iteration,accuracy,loss,lr,progress,timestamp
0.0,0.08999999612569809,0.0002450395800984873,0.01,0.0,
100.0,0.8326999545097351,8.178679275105796e-05,0.01,0.005,
200.0,0.8589999675750732,6.167700998744636e-05,0.01,0.01,
300.0,0.8711999654769897,5.381186485065311e-05,0.01,0.015,
400.0,0.8758999705314636,4.951447156037465e-05,0.01,0.02,
500.0,0.8851999640464783,4.64388825695728e-05,0.01,0.025,
600.0,0.8854999542236328,4.42893825642845e-05,0.01,0.03,
700.0,0.8906999826431274,4.2849455074584735e-05,0.01,0.035,
800.0,0.8938999772071838,4.152879964351171e-05,0.01,0.04,
900.0,0.8944999575614929,4.0526283392961046e-05,0.01,0.045,
1000.0,0.8952999711036682,3.957691915230526e-05,0.01,0.05,
1100.0,0.897599995136261,3.890333671753617e-05,0.01,0.055,
1200.0,0.8965999484062195,3.833091171175991e-05,0.01,0.06,
1300.0,0.9004999995231628,3.791409961041496e-05,0.01,0.065,
1400.0,0.8998000025749207,3.7330440845963247e-05,0.01,0.07,
1500.0,0.9009999632835388,3.6979532986026326e-05,0.01,0.075,
1600.0,0.9035999774932861,3.665101135308141e-05,0.01,0.08,
1700.0,0.9035999774932861,3.6190174530957196e-05,0.01,0.085,
1800.0,0.9038999676704407,3.597036867567397e-05,0.01,0.09,
1900.0,0.9045999646186829,3.56824879805464e-05,0.01,0.095,
2000.0,0.9054999947547913,3.5451181369331036e-05,0.01,0.1,
2100.0,0.9063999652862549,3.5170173966540335e-05,0.01,0.105,
2200.0,0.905299961566925,3.496754973753729e-05,0.01,0.11,
2300.0,0.9054999947547913,3.4745309125194464e-05,0.01,0.115,
2400.0,0.9068999886512756,3.458574724011218e-05,0.01,0.12,
2500.0,0.9065999984741211,3.4457622122932196e-05,0.01,0.125,
2600.0,0.9080999493598938,3.436714648718081e-05,0.01,0.13,
2700.0,0.9079999923706055,3.4065732120357455e-05,0.01,0.135,
2800.0,0.9086999893188477,3.399351765765351e-05,0.01,0.14,
2900.0,0.9089999794960022,3.3836583773776274e-05,0.01,0.145,
3000.0,0.9085999727249146,3.369095671422767e-05,0.01,0.15,
3100.0,0.9092999696731567,3.366731999359522e-05,0.01,0.155,
3200.0,0.9093999862670898,3.35508460431062e-05,0.01,0.16,
3300.0,0.9096999764442444,3.3331273334861536e-05,0.01,0.165,
3400.0,0.9106000065803528,3.321765956419554e-05,0.01,0.17,
3500.0,0.9111999869346619,3.317915612102945e-05,0.01,0.175,
3600.0,0.9110999703407288,3.3087860783988755e-05,0.01,0.18,
3700.0,0.9101999998092651,3.3089751075830125e-05,0.01,0.185,
3800.0,0.9104999899864197,3.3001212624579325e-05,0.01,0.19,
3900.0,0.9106999635696411,3.299827465925969e-05,0.01,0.195,
4000.0,0.9110999703407288,3.291707191236543e-05,0.01,0.2,
4100.0,0.911899983882904,3.2769963469116335e-05,0.01,0.205,
4200.0,0.9113999605178833,3.270495667289713e-05,0.01,0.21,
4300.0,0.9127999544143677,3.269372075102791e-05,0.01,0.215,
4400.0,0.9116999506950378,3.262562336523966e-05,0.01,0.22,
4500.0,0.9125999808311462,3.2526387991535106e-05,0.01,0.225,
4600.0,0.913100004196167,3.251093077433575e-05,0.01,0.23,
4700.0,0.9127999544143677,3.253199394305416e-05,0.01,0.235,
4800.0,0.9127999544143677,3.2519426962152196e-05,0.01,0.24,
4900.0,0.9125999808311462,3.24683409066746e-05,0.01,0.245,
5000.0,0.9120000004768372,3.2333894817593005e-05,0.01,0.25,
5100.0,0.91239994764328,3.2312242969555396e-05,0.01,0.255,
5200.0,0.9125999808311462,3.231482943967142e-05,0.01,0.26,
5300.0,0.9120000004768372,3.23243300822366e-05,0.01,0.265,
5400.0,0.91239994764328,3.228659898625083e-05,0.01,0.27,
5500.0,0.9133999943733215,3.2212764049083844e-05,0.01,0.275,
5600.0,0.9138999581336975,3.21278533947694e-05,0.01,0.28,
5700.0,0.9138999581336975,3.208913008404882e-05,0.01,0.285,
5800.0,0.913599967956543,3.216018818419247e-05,0.01,0.29,
5900.0,0.9139999747276306,3.210026559257325e-05,0.01,0.295,
6000.0,0.9132999777793884,3.2097154462473324e-05,0.01,0.3,
6100.0,0.9149999618530273,3.194099860790276e-05,0.01,0.305,
6200.0,0.9142999649047852,3.191100055748869e-05,0.01,0.31,
6300.0,0.9120000004768372,3.201345562875275e-05,0.01,0.315,
6400.0,0.913100004196167,3.198975035809983e-05,0.01,0.32,
6500.0,0.914900004863739,3.181135516922411e-05,0.01,0.325,
