iteration,accuracy,loss,lr,progress,timestamp
0.0,0.07580000162124634,0.00024321885506784413,0.01,0.0,
100.0,0.8244999647140503,9.111776612992453e-05,0.01,0.005,
200.0,0.8470999598503113,7.212231204436453e-05,0.01,0.01,
300.0,0.8600999712944031,6.51499742861323e-05,0.01,0.015,
400.0,0.8628000020980835,6.118163976973854e-05,0.01,0.02,
500.0,0.8690999746322632,5.89869560528554e-05,0.01,0.025,
600.0,0.8723999857902527,5.744452154201414e-05,0.01,0.03,
700.0,0.8752999901771545,5.662043338726437e-05,0.01,0.035,
800.0,0.8763999938964844,5.56521826129656e-05,0.01,0.04,
900.0,0.880899965763092,5.5195512933794725e-05,0.01,0.045,
1000.0,0.8805999755859375,5.452012309521429e-05,0.01,0.05,
1100.0,0.8822999596595764,5.382224279205334e-05,0.01,0.055,
1200.0,0.8833999633789062,5.3326715063215695e-05,0.01,0.06,
1300.0,0.8854999542236328,5.2981413256406654e-05,0.01,0.065,
1400.0,0.8849999904632568,5.238255856625256e-05,0.01,0.07,
1500.0,0.885699987411499,5.223448300229758e-05,0.01,0.075,
1600.0,0.8847000002861023,5.2111531653413225e-05,0.01,0.08,
1700.0,0.8869999647140503,5.21529266761455e-05,0.01,0.085,
1800.0,0.8880999684333801,5.198852126523766e-05,0.01,0.09,
1900.0,0.8873999714851379,5.1399096487640476e-05,0.01,0.095,
2000.0,0.8878999948501587,5.1491153383419666e-05,0.01,0.1,
2100.0,0.887499988079071,5.096863895082293e-05,0.01,0.105,
2200.0,0.8877999782562256,5.089937940782517e-05,0.01,0.11,
2300.0,0.8898999691009521,5.0943031396195665e-05,0.01,0.115,
2400.0,0.887999951839447,5.0664724569833035e-05,0.01,0.12,
2500.0,0.8889999985694885,5.067036992027303e-05,0.01,0.125,
2600.0,0.8863999843597412,5.050437317255073e-05,0.01,0.13,
2700.0,0.887499988079071,5.057236430522404e-05,0.01,0.135,
2800.0,0.8865000009536743,5.049720179040073e-05,0.01,0.14,
2900.0,0.8895999789237976,5.0315934140287904e-05,0.01,0.145,
3000.0,0.8902999758720398,4.996701334266591e-05,0.01,0.15,
3100.0,0.887999951839447,4.995788129185183e-05,0.01,0.155,
3200.0,0.8873999714851379,5.056178256972092e-05,0.01,0.16,
3300.0,0.8871999979019165,5.020045984334036e-05,0.01,0.165,
3400.0,0.8890999555587769,4.9832182778062535e-05,0.01,0.17,
3500.0,0.8887999653816223,5.0042507891723164e-05,0.01,0.175,
3600.0,0.8896999955177307,5.0117523380400456e-05,0.01,0.18,
