iteration,accuracy,loss,lr,progress,timestamp
0.0,0.08460000157356262,0.00024681710982520213,0.01,0.0,
100.0,0.8281999826431274,8.36474433815579e-05,0.01,0.005,
200.0,0.8572999835014343,6.332341715403011e-05,0.01,0.01,
300.0,0.8689000010490417,5.524938358368256e-05,0.01,0.015,
400.0,0.8754000067710876,5.072903593527404e-05,0.01,0.02,
500.0,0.8798999786376953,4.776705175112932e-05,0.01,0.025,
600.0,0.884399950504303,4.564127513510821e-05,0.01,0.03,
700.0,0.8873999714851379,4.400248439006201e-05,0.01,0.035,
800.0,0.8917999863624573,4.26928271895686e-05,0.01,0.04,
900.0,0.8921999931335449,4.182582782786878e-05,0.01,0.045,
1000.0,0.8952999711036682,4.084618874529003e-05,0.01,0.05,
1100.0,0.8964999914169312,4.0352782457571496e-05,0.01,0.055,
1200.0,0.8968999981880188,3.9602770190042e-05,0.01,0.06,
1300.0,0.8988999724388123,3.906938515201711e-05,0.01,0.065,
1400.0,0.8991000056266785,3.8599434174878464e-05,0.01,0.07,
1500.0,0.9005999565124512,3.812414449710206e-05,0.01,0.075,
1600.0,0.9003999829292297,3.790233186741541e-05,0.01,0.08,
1700.0,0.9024999737739563,3.759243691594399e-05,0.01,0.085,
1800.0,0.9013999700546265,3.7210505517334926e-05,0.01,0.09,
1900.0,0.9030999541282654,3.701743713294933e-05,0.01,0.095,
2000.0,0.9045999646186829,3.6756314656725804e-05,0.01,0.1,
2100.0,0.9032999873161316,3.6622965984127014e-05,0.01,0.105,
2200.0,0.9036999940872192,3.6312633806359935e-05,0.01,0.11,
2300.0,0.9041999578475952,3.618712601556767e-05,0.01,0.115,
2400.0,0.9059999585151672,3.59780368130255e-05,0.01,0.12,
2500.0,0.9056999683380127,3.583856240607308e-05,0.01,0.125,
2600.0,0.9066999554634094,3.566758959119555e-05,0.01,0.13,
2700.0,0.9054999947547913,3.563303982570489e-05,0.01,0.135,
2800.0,0.9070000052452087,3.5438925061495567e-05,0.01,0.14,
2900.0,0.9074999690055847,3.532538333792807e-05,0.01,0.145,
3000.0,0.9084999561309814,3.519388960426126e-05,0.01,0.15,
3100.0,0.9081999659538269,3.5072901371799424e-05,0.01,0.155,
3200.0,0.9081999659538269,3.492108049889862e-05,0.01,0.16,
3300.0,0.9091999530792236,3.490923796598205e-05,0.01,0.165,
3400.0,0.9088000059127808,3.476440481069935e-05,0.01,0.17,
3500.0,0.9080999493598938,3.472180366087465e-05,0.01,0.175,
3600.0,0.9088000059127808,3.4791759253317965e-05,0.01,0.18,
3700.0,0.9101999998092651,3.4601847066313315e-05,0.01,0.185,
3800.0,0.9103999733924866,3.4502030689040016e-05,0.01,0.19,
3900.0,0.9090999960899353,3.444325682099179e-05,0.01,0.195,
4000.0,0.9089999794960022,3.438842886052787e-05,0.01,0.2,
4100.0,0.9098999500274658,3.424080601351894e-05,0.01,0.205,
4200.0,0.9106999635696411,3.421793883422847e-05,0.01,0.21,
4300.0,0.9109999537467957,3.4278608576914285e-05,0.01,0.215,
4400.0,0.9088000059127808,3.422175175258009e-05,0.01,0.22,
4500.0,0.911300003528595,3.403484432566912e-05,0.01,0.225,
4600.0,0.9106999635696411,3.4110785504177196e-05,0.01,0.23,
4700.0,0.911300003528595,3.402239131643077e-05,0.01,0.235,
4800.0,0.911300003528595,3.393884212522963e-05,0.01,0.24,
4900.0,0.9114999771118164,3.391146654731354e-05,0.01,0.245,
