iteration,accuracy,loss,lr,progress,timestamp
0.0,0.08229999989271164,0.00025270595393757985,0.01,0.0,
100.0,0.8278999924659729,8.587148767078757e-05,0.01,0.005,
200.0,0.8531999588012695,6.401799233593294e-05,0.01,0.01,
300.0,0.8707000017166138,5.4866232994620545e-05,0.01,0.015,
400.0,0.8779999613761902,5.0059921985657156e-05,0.01,0.02,
500.0,0.882599949836731,4.691541316910861e-05,0.01,0.025,
600.0,0.8866999745368958,4.461344966180543e-05,0.01,0.03,
700.0,0.8884999752044678,4.305750678461975e-05,0.01,0.035,
800.0,0.8919000029563904,4.1630360176769126e-05,0.01,0.04,
900.0,0.8941999673843384,4.054846341011239e-05,0.01,0.045,
1000.0,0.8955000042915344,3.965697520240936e-05,0.01,0.05,
1100.0,0.8964999914169312,3.890984534951957e-05,0.01,0.055,
1200.0,0.8986999988555908,3.825196794506004e-05,0.01,0.06,
1300.0,0.8986999988555908,3.7801555568455674e-05,0.01,0.065,
1400.0,0.9002999663352966,3.7354904289334184e-05,0.01,0.07,
1500.0,0.9009999632835388,3.6854085032720106e-05,0.01,0.075,
1600.0,0.902999997138977,3.6450825258862994e-05,0.01,0.08,
1700.0,0.9037999510765076,3.609154493909501e-05,0.01,0.085,
1800.0,0.9041999578475952,3.59203611303844e-05,0.01,0.09,
1900.0,0.9045999646186829,3.55319547602179e-05,0.01,0.095,
2000.0,0.9059000015258789,3.528539810413104e-05,0.01,0.1,
2100.0,0.9052000045776367,3.508491558682636e-05,0.01,0.105,
2200.0,0.9070000052452087,3.4944904403304386e-05,0.01,0.11,
2300.0,0.9062999486923218,3.491301821197381e-05,0.01,0.115,
2400.0,0.9077000021934509,3.449283562999369e-05,0.01,0.12,
2500.0,0.9075999855995178,3.4283880672464055e-05,0.01,0.125,
2600.0,0.9088000059127808,3.417907734291582e-05,0.01,0.13,
2700.0,0.9078999757766724,3.4058646889148244e-05,0.01,0.135,
2800.0,0.9089999794960022,3.388699337067343e-05,0.01,0.14,
2900.0,0.9089999794960022,3.388121357219719e-05,0.01,0.145,
3000.0,0.9093999862670898,3.3685292191396865e-05,0.01,0.15,
3100.0,0.9088999629020691,3.355703424243751e-05,0.01,0.155,
3200.0,0.9097999930381775,3.342092907442799e-05,0.01,0.16,
3300.0,0.9097999930381775,3.335492797808336e-05,0.01,0.165,
3400.0,0.9093999862670898,3.327773364758771e-05,0.01,0.17,
3500.0,0.9107999801635742,3.3032088029603645e-05,0.01,0.175,
3600.0,0.9102999567985535,3.3054544911727996e-05,0.01,0.18,
3700.0,0.9114999771118164,3.294928981080599e-05,0.01,0.185,
3800.0,0.9113999605178833,3.280914037915014e-05,0.01,0.19,
3900.0,0.9096999764442444,3.292971309887415e-05,0.01,0.195,
4000.0,0.9110999703407288,3.279301182293179e-05,0.01,0.2,
4100.0,0.9127999544143677,3.2699334238081046e-05,0.01,0.205,
4200.0,0.9120000004768372,3.2586753407961956e-05,0.01,0.21,
4300.0,0.9128999710083008,3.253731510182908e-05,0.01,0.215,
4400.0,0.9134999513626099,3.252986355361229e-05,0.01,0.22,
4500.0,0.9132999777793884,3.246872947609083e-05,0.01,0.225,
4600.0,0.9131999611854553,3.2391635789860174e-05,0.01,0.23,
4700.0,0.9129999876022339,3.2255243056324e-05,0.01,0.235,
4800.0,0.9128999710083008,3.2246927098341296e-05,0.01,0.24,
4900.0,0.9134999513626099,3.2186700811642476e-05,0.01,0.245,
5000.0,0.9131999611854553,3.227416672158375e-05,0.01,0.25,
5100.0,0.911799967288971,3.215111254675778e-05,0.01,0.255,
5200.0,0.9133999943733215,3.2075968367185525e-05,0.01,0.26,
5300.0,0.9129999876022339,3.2126343851777465e-05,0.01,0.265,
5400.0,0.9129999876022339,3.211637250711561e-05,0.01,0.27,
5500.0,0.915399968624115,3.2036984212646694e-05,0.01,0.275,
5600.0,0.9133999943733215,3.201770123056282e-05,0.01,0.28,
5700.0,0.9147999882698059,3.199500720877665e-05,0.01,0.285,
5800.0,0.913599967956543,3.192459517570408e-05,0.01,0.29,
5900.0,0.9138999581336975,3.195656812325476e-05,0.01,0.295,
6000.0,0.9139999747276306,3.1848738557397515e-05,0.01,0.3,
6100.0,0.9139999747276306,3.180961735194316e-05,0.01,0.305,
6200.0,0.9139999747276306,3.183252809822046e-05,0.01,0.31,
6300.0,0.9146999716758728,3.196106172748782e-05,0.01,0.315,
6400.0,0.9138999581336975,3.177184621578322e-05,0.01,0.32,
6500.0,0.914199948310852,3.17937893104745e-05,0.01,0.325,
6600.0,0.9136999845504761,3.184830520753147e-05,0.01,0.33,
6700.0,0.914900004863739,3.180483069003639e-05,0.01,0.335,
6800.0,0.9147999882698059,3.1767390684866785e-05,0.01,0.34,
6900.0,0.9150999784469604,3.1597381820402114e-05,0.01,0.345,
7000.0,0.9149999618530273,3.171967772676482e-05,0.01,0.35,
7100.0,0.9145999550819397,3.162711798051529e-05,0.01,0.355,
7200.0,0.9144999980926514,3.15824223134321e-05,0.01,0.36,
7300.0,0.9139999747276306,3.16682605167305e-05,0.01,0.365,
7400.0,0.9156000018119812,3.152542446428706e-05,0.01,0.37,
7500.0,0.9146999716758728,3.157009184790752e-05,0.01,0.375,
7600.0,0.9150999784469604,3.156584392395901e-05,0.01,0.38,
7700.0,0.9139999747276306,3.153318743361801e-05,0.01,0.385,
7800.0,0.915399968624115,3.147894815177487e-05,0.01,0.39,
7900.0,0.9143999814987183,3.151975433314945e-05,0.01,0.395,
8000.0,0.9156999588012695,3.150022066763747e-05,0.01,0.4,
8100.0,0.9152999520301819,3.158402791909526e-05,0.01,0.405,
8200.0,0.9157999753952026,3.152663886197529e-05,0.01,0.41,
8300.0,0.9156000018119812,3.1436205168135656e-05,0.01,0.415,
8400.0,0.9164999723434448,3.136405702022463e-05,0.01,0.42,
8500.0,0.9159999489784241,3.139517097984317e-05,0.01,0.425,
8600.0,0.9129999876022339,3.164905892607241e-05,0.01,0.43,
8700.0,0.914900004863739,3.136650199600483e-05,0.01,0.435,
8800.0,0.914900004863739,3.1394059951365464e-05,0.01,0.44,
8900.0,0.9146999716758728,3.1384289240994e-05,0.01,0.445,
9000.0,0.9149999618530273,3.1316909346652357e-05,0.01,0.45,
9100.0,0.9145999550819397,3.139805195184482e-05,0.01,0.455,
9200.0,0.9146999716758728,3.140755935914305e-05,0.01,0.46,
9300.0,0.9158999919891357,3.1294774038776856e-05,0.01,0.465,
9400.0,0.9169999957084656,3.12933782553972e-05,0.01,0.47,
9500.0,0.9163999557495117,3.1269772722055404e-05,0.01,0.475,
9600.0,0.9159999489784241,3.130097871423397e-05,0.01,0.48,
9700.0,0.9158999919891357,3.137266918691163e-05,0.01,0.485,
9800.0,0.9160999655723572,3.128512812279817e-05,0.01,0.49,
9900.0,0.916700005531311,3.131705699291274e-05,0.01,0.495,
10000.0,0.9158999919891357,3.128027820951828e-05,0.01,0.5,
10100.0,0.9151999950408936,3.122370216863511e-05,0.01,0.505,
10200.0,0.914900004863739,3.125416791545399e-05,0.01,0.51,
10300.0,0.9142999649047852,3.133943110748301e-05,0.01,0.515,
10400.0,0.9144999980926514,3.1366376689561566e-05,0.01,0.52,
10500.0,0.9157999753952026,3.1255674603042744e-05,0.01,0.525,
10600.0,0.9170999526977539,3.127865868293237e-05,0.01,0.53,
10700.0,0.9168999791145325,3.1389256659048446e-05,0.01,0.535,
10800.0,0.9146999716758728,3.129522216430332e-05,0.01,0.54,
10900.0,0.9156999588012695,3.123000508875664e-05,0.01,0.545,
11000.0,0.9157999753952026,3.114935635050658e-05,0.01,0.55,
11100.0,0.9146999716758728,3.127400912037065e-05,0.01,0.555,
11200.0,0.9156000018119812,3.1280423212407405e-05,0.01,0.56,
11300.0,0.9156000018119812,3.122869164601069e-05,0.01,0.565,
11400.0,0.9161999821662903,3.127368441649605e-05,0.01,0.57,
11500.0,0.9140999913215637,3.137101149347908e-05,0.01,0.575,
11600.0,0.9169999957084656,3.1073379965234514e-05,0.01,0.58,
11700.0,0.9164999723434448,3.116768697192513e-05,0.01,0.585,
11800.0,0.9163999557495117,3.118229322565689e-05,0.01,0.59,
11900.0,0.9159999489784241,3.1173348339619744e-05,0.01,0.595,
12000.0,0.9156999588012695,3.117670628568453e-05,0.01,0.6,
12100.0,0.9164999723434448,3.1039106162740625e-05,0.01,0.605,
12200.0,0.9156000018119812,3.111786325840575e-05,0.01,0.61,
12300.0,0.9151999950408936,3.104932069577943e-05,0.01,0.615,
12400.0,0.916700005531311,3.1031627862809536e-05,0.01,0.62,
12500.0,0.9164999723434448,3.107560960012995e-05,0.01,0.625,
12600.0,0.915399968624115,3.1043049573010804e-05,0.01,0.63,
