iteration,accuracy,loss,lr,progress,timestamp
0.0,0.10089999437332153,0.0002441585699235802,0.01,0.0,
100.0,0.8269000053405762,9.180356851131952e-05,0.01,0.005,
200.0,0.8549999594688416,6.90470488329175e-05,0.01,0.01,
300.0,0.8662999868392944,5.99574634647448e-05,0.01,0.015,
400.0,0.8727999925613403,5.501682406434606e-05,0.01,0.02,
500.0,0.8776999711990356,5.1814532005726144e-05,0.01,0.025,
600.0,0.8833000063896179,4.9563185112490826e-05,0.01,0.03,
700.0,0.8851999640464783,4.796607515792963e-05,0.01,0.035,
800.0,0.8865000009536743,4.662852507861002e-05,0.01,0.04,
900.0,0.8865999579429626,4.563556103529205e-05,0.01,0.045,
1000.0,0.8919999599456787,4.473612561611483e-05,0.01,0.05,
1100.0,0.8901999592781067,4.4063683268671366e-05,0.01,0.055,
1200.0,0.8935999870300293,4.355131105517441e-05,0.01,0.06,
1300.0,0.8959999680519104,4.281594795280739e-05,0.01,0.065,
1400.0,0.8949999809265137,4.242717222399153e-05,0.01,0.07,
1500.0,0.8958999514579773,4.203763807673718e-05,0.01,0.075,
1600.0,0.8974999785423279,4.1891355189519096e-05,0.01,0.08,
1700.0,0.8984999656677246,4.1282228606470094e-05,0.01,0.085,
1800.0,0.8980000019073486,4.098695203055961e-05,0.01,0.09,
1900.0,0.9003999829292297,4.091300960250781e-05,0.01,0.095,
2000.0,0.8991000056266785,4.0598763420662413e-05,0.01,0.1,
2100.0,0.8991000056266785,4.0347368503635516e-05,0.01,0.105,
2200.0,0.9001999497413635,4.016918611575747e-05,0.01,0.11,
2300.0,0.9018999934196472,4.0103296450713165e-05,0.01,0.115,
2400.0,0.9007999897003174,4.003087139770148e-05,0.01,0.12,
2500.0,0.9019999504089355,3.982573097148445e-05,0.01,0.125,
2600.0,0.9010999798774719,3.970903193551085e-05,0.01,0.13,
2700.0,0.9010999798774719,3.964056759215426e-05,0.01,0.135,
2800.0,0.9018999934196472,3.9408802388704754e-05,0.01,0.14,
2900.0,0.9031999707221985,3.925405044390322e-05,0.01,0.145,
3000.0,0.9030999541282654,3.9286098988710176e-05,0.01,0.15,
3100.0,0.902899980545044,3.907946021105736e-05,0.01,0.155,
3200.0,0.902999997138977,3.914533550796671e-05,0.01,0.16,
3300.0,0.9056999683380127,3.901411928870607e-05,0.01,0.165,
3400.0,0.9038999676704407,3.886723842604891e-05,0.01,0.17,
3500.0,0.9042999744415283,3.867897391686334e-05,0.01,0.175,
3600.0,0.9037999510765076,3.8690370425313094e-05,0.01,0.18,
3700.0,0.9045999646186829,3.865112959670175e-05,0.01,0.185,
3800.0,0.9052000045776367,3.859240640151793e-05,0.01,0.19,
3900.0,0.9060999751091003,3.873834083703887e-05,0.01,0.195,
4000.0,0.9060999751091003,3.854271681997807e-05,0.01,0.2,
4100.0,0.9070000052452087,3.8528811142780806e-05,0.01,0.205,
4200.0,0.9047999978065491,3.841402965836524e-05,0.01,0.21,
4300.0,0.9054999947547913,3.840914228567907e-05,0.01,0.215,
4400.0,0.9044999480247498,3.840759908498086e-05,0.01,0.22,
4500.0,0.9066999554634094,3.8430641294590574e-05,0.01,0.225,
4600.0,0.9063999652862549,3.835579466442416e-05,0.01,0.23,
4700.0,0.9049999713897705,3.8389214862440246e-05,0.01,0.235,
4800.0,0.9056999683380127,3.8165666549219626e-05,0.01,0.24,
4900.0,0.9056999683380127,3.8263959339971255e-05,0.01,0.245,
5000.0,0.9062999486923218,3.801441360574631e-05,0.01,0.25,
5100.0,0.9070000052452087,3.8090417975494916e-05,0.01,0.255,
5200.0,0.9056999683380127,3.8065119773996814e-05,0.01,0.26,
